#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,1,0,0,43.93636364
0,2,0,0,0,76.93333333
1,0,0,1,1,69.64772727
0,0,2,1,1,83.54509804
1,1,0,2,1,86.86065574
4,0,0,1,1,74.46304348
2,2,2,1,0,80.64038462
1,1,3,2,1,93.93866667
1,4,1,1,2,94.4617284
2,2,0,2,4,96.725
0,1,0,0,0,45.00909091
1,0,1,0,0,50.56363636
0,1,1,1,0,68.485
0,0,2,2,0,83.49215686
0,2,1,0,2,91.07142857
0,3,1,0,2,90.07258065
1,1,3,1,1,92.43278689
1,0,3,4,0,94.90379747
1,3,3,1,1,93.42638889
5,0,3,0,2,90.915
0,0,0,0,1,41.70344828
0,0,2,0,0,75.98
0,1,0,1,1,77.41458333
1,1,2,0,0,87.6047619
0,1,0,2,2,90.26764706
0,2,2,2,0,90.46885246
2,2,1,2,0,90.12758621
1,2,0,3,2,95.59651163
2,2,1,1,3,95.34177215
1,4,2,2,1,95.16091954
0,1,0,0,0,45.71818182
1,0,0,1,0,43.44
0,0,0,1,2,78.76538462
1,0,0,2,1,80.35636364
0,2,1,2,0,89.91272727
2,1,1,1,1,85.05961538
0,0,1,0,6,97.61818182
1,3,1,0,3,93.63648649
2,3,2,1,1,92.84477612
1,5,4,0,0,99.17678571
0,0,0,1,0,45.93636364
1,0,0,0,1,46.54848485
1,0,1,0,1,56.503125
0,0,1,0,3,85.33103448
3,0,0,0,2,73.04090909
0,1,2,3,0,91.48970588
3,2,1,1,0,78.69565217
3,1,2,0,2,91.0137931
1,2,1,1,4,96.9688172
4,0,3,2,1,93.14366197
0,0,0,0,1,41.3862069
0,1,1,0,0,76.62
0,0,0,1,2,77.7490566
0,0,2,0,2,85.28235294
2,1,2,0,0,91.21904762
2,2,1,1,0,78.54222222
1,2,1,1,2,92.76567164
2,3,0,1,2,93.70434783
0,2,1,3,3,96.99065421
4,1,0,3,2,95.29882353
0,0,1,0,0,44.82727273
0,2,0,0,0,76.92666667
1,0,0,1,1,69.925
0,1,1,0,2,84.3372549
2,1,1,1,0,70.50952381
0,2,1,1,2,92.62058824
1,1,2,2,1,93.325
0,3,0,2,3,96.09677419
2,1,2,1,3,94.14556962
2,1,0,5,2,97.4990566
0,0,1,0,0,44.80909091
0,1,0,1,0,55.103125
1,0,0,1,1,71.03181818
1,1,2,0,0,88.48095238
1,1,0,0,3,85.81607143
1,2,1,0,2,91.125
1,3,2,0,1,83.76071429
4,1,0,1,2,88.43898305
3,2,2,1,1,92.07936508
3,0,3,1,3,95.67407407
0,0,0,1,0,45.73529412
0,0,0,2,0,67.75348837
2,0,0,0,1,44.80666667
2,0,0,0,2,72.18695652
1,0,0,3,1,87.18153846
1,2,2,1,0,81.01960784
0,0,0,5,2,96.18585859
0,1,5,2,0,92.54133333
2,1,1,0,5,96.24772727
0,3,2,1,4,97.34757282
0,0,0,0,1,45.8
1,1,0,0,0,52.06363636
0,2,0,0,1,68.6175
0,1,0,2,1,84.3875
1,1,1,2,0,85.93584906
1,1,1,2,1,91.14923077
2,1,2,1,1,90.27586207
0,0,0,4,4,98.80654206
3,2,0,2,2,94.33421053
