#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,0,0,1,0,0,0,43.36976744
0,0,0,0,1,0,0,1,60.3
1,0,0,1,0,0,0,1,46.68787879
1,0,0,0,0,0,2,1,92.60731707
0,0,0,1,0,0,4,0,99.35217391
2,1,0,0,0,1,2,0,95.48707483
1,2,0,0,1,0,2,1,98.81
2,0,1,1,0,0,2,2,96.72290076
1,1,1,1,1,1,1,2,99.48333333
4,1,1,3,0,1,0,0,74.89315068
0,0,0,1,0,0,0,0,45.77777778
0,0,0,1,0,0,1,0,48.67333333
1,0,1,0,1,0,0,0,61.40212766
0,0,0,2,1,1,0,0,88.0056
0,1,0,1,0,2,0,1,92.54368932
0,2,1,2,0,0,0,1,75.95
0,1,1,1,2,1,1,0,99.36871795
1,3,0,0,0,1,1,2,97.80243902
2,1,0,1,3,1,1,0,99.15153061
0,2,1,2,2,1,1,1,99.36306306
0,0,0,0,1,0,0,0,43.51627907
0,0,1,1,0,0,0,0,75.27333333
1,0,0,1,1,0,0,0,53.25
0,0,2,0,0,1,1,0,91.70555556
0,1,1,0,1,0,1,1,92.70344828
2,0,1,0,2,0,0,1,94.10597015
0,0,0,1,2,1,1,2,99.46504854
0,4,0,2,0,0,0,2,87.58235294
1,1,1,1,0,2,2,1,99.35023923
1,2,0,2,1,2,2,0,99.6352657
0,1,0,0,0,0,0,0,58.40769231
1,0,0,0,0,1,0,0,47.04090909
1,0,0,0,0,0,2,0,86.68114754
0,2,1,0,0,0,0,1,70.55
1,0,0,2,1,0,1,0,89.11968504
1,2,0,2,0,1,0,0,71.98064516
1,2,1,2,0,0,1,0,76.03088235
0,0,1,1,2,1,3,0,99.34336283
1,1,1,1,2,1,1,1,99.60943396
0,1,2,0,2,1,2,2,99.45526316
0,0,0,0,0,0,1,0,43.84883721
0,0,0,0,1,0,1,0,84.00576923
2,0,0,0,1,0,0,0,50.86136364
2,0,0,0,0,1,0,1,65.5
0,2,0,1,2,0,0,0,91.28814815
0,1,0,1,1,0,1,2,98.17985612
1,1,1,2,1,0,1,0,91.43076923
1,0,1,2,0,0,3,1,98.06232877
0,2,1,2,1,0,2,1,98.9488764
1,2,0,1,2,1,3,0,99.75132743
0,0,0,0,0,0,0,1,34.5862069
0,1,0,0,0,0,1,0,55.54130435
1,2,0,0,0,0,0,0,86.76
0,0,0,2,0,1,0,1,69.146
0,2,0,0,1,1,1,0,96.19102564
0,0,0,1,0,1,4,0,99.57173913
0,1,0,2,1,0,1,2,97.31851852
2,2,1,1,0,0,2,0,91.2288
1,0,1,1,4,0,1,1,99.39905213
2,1,1,0,1,0,3,2,99.37477064
0,0,0,0,0,0,1,0,43.7627907
1,0,0,1,0,0,0,0,68.21111111
0,1,1,0,0,0,0,1,68.625
0,0,3,1,0,0,0,0,96.18888889
0,0,3,0,0,1,1,0,90.31682243
2,1,0,1,1,1,0,0,89.6037594
0,0,1,0,1,2,1,2,99.55242718
2,1,1,1,1,1,1,0,96.19378882
0,2,3,0,1,0,2,1,99.01436782
1,1,1,1,1,1,3,1,99.40471698
0,0,0,0,0,0,0,1,34.76333333
0,1,0,0,1,0,0,0,55.71304348
1,1,1,0,0,0,0,0,86.585
0,0,0,0,2,0,1,1,98.10633803
1,1,1,0,0,0,2,0,91.60305344
0,1,0,0,0,1,2,2,98.41717791
2,2,1,1,0,0,1,0,79.15625
0,2,0,3,0,1,0,2,88.57567568
1,1,1,0,2,1,2,1,99.5702439
0,1,3,2,0,1,3,0,98.99354839
0,0,0,0,0,0,0,1,34.06666667
0,0,0,0,0,1,0,1,59.22888889
0,0,1,0,0,0,1,1,71.93541667
0,0,0,0,0,1,1,2,97.32301587
0,2,0,0,0,1,2,0,95.79677419
2,1,2,0,0,0,0,1,76.81020408
0,2,2,0,2,0,1,0,96.18787879
0,0,2,1,3,2,0,0,99.71794872
0,0,1,2,1,0,2,3,98.92033898
2,2,2,1,0,1,1,1,93.56105263
1,0,0,0,0,0,0,0,25.95
0,0,0,0,0,1,1,0,85.5
0,0,1,0,1,0,1,0,89.88846154
0,0,1,1,0,1,0,1,75.79019608
2,0,0,1,0,2,0,0,88.19527559
1,0,0,1,1,0,1,2,97.23283582
2,1,1,0,0,2,1,0,95.61483871
0,2,1,0,1,2,1,1,99.00943396
1,2,0,1,1,1,2,1,99.03925234
