#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,0,1,0,48.12631579
1,0,1,0,0,90.8
2,0,1,0,0,94.12307692
0,1,3,0,0,89.45806452
1,0,0,3,1,95.38863636
2,1,1,1,1,93.36744186
1,1,4,1,0,92.35918367
3,2,1,1,1,88.26666667
2,3,2,0,2,88.58780488
4,2,2,2,0,91.5578125
0,0,0,1,0,58.37333333
0,1,0,0,1,74.375
0,1,1,1,0,88
1,0,0,2,1,94.07777778
0,0,1,2,2,96.10535714
4,0,0,2,0,86.375
2,0,1,1,3,91.84237288
2,0,2,1,3,95.98947368
0,1,2,4,2,93.19534884
3,3,1,1,2,94.5440678
1,0,0,0,0,75.1
0,0,0,2,0,83.00526316
0,0,0,1,2,90.18636364
0,1,1,0,2,89.45116279
1,1,1,0,2,87.6744186
3,1,1,1,0,84.11282051
2,1,1,1,2,95.528
0,3,2,2,1,95.71935484
3,1,1,2,2,93.62
3,1,2,3,1,96.48550725
1,0,0,0,0,77.98
0,0,0,0,2,80.775
0,1,0,0,2,91.304
2,0,0,1,1,81.4516129
1,2,1,0,1,86.22820513
2,1,1,1,1,93.45
3,1,1,1,1,93.24347826
2,0,4,1,1,91.88333333
2,2,1,2,2,95.80740741
2,1,1,2,4,90.76521739
0,1,0,0,0,93.02222222
0,1,0,1,0,81.02142857
0,0,0,0,3,92.872
0,0,1,1,2,91.02
2,0,1,2,0,92.20454545
3,1,0,2,0,89.61794872
2,1,2,1,1,89.93859649
1,1,1,3,2,96.35079365
1,3,4,1,0,89.80454545
3,1,1,4,1,91.13896104
0,0,0,0,1,64.50714286
1,0,0,0,1,70.26
0,1,1,0,1,83.08
1,0,3,0,0,96.05769231
0,1,1,1,2,92.42666667
0,1,2,1,2,95.55087719
0,1,2,4,0,88.42580645
1,4,1,2,0,91.21506849
2,3,0,1,3,96.32622951
1,1,3,2,3,96.36666667
0,0,0,0,1,70.26666667
0,1,1,0,0,89.18214286
1,0,0,1,1,86.67222222
0,3,1,0,0,96.36829268
0,2,1,2,0,94.16129032
0,0,1,4,1,96.2362069
1,1,2,2,1,92.68541667
3,2,1,1,1,93.88611111
2,4,2,1,0,88.76507937
2,2,1,3,2,92.44078947
0,0,0,1,0,63.4
0,1,0,0,1,83
0,1,0,2,0,85.17058824
0,0,4,0,0,92.80645161
2,1,1,1,0,83.73877551
0,0,0,2,4,94.0109375
0,0,2,2,3,94.72096774
1,2,0,1,4,92.68441558
0,3,2,1,3,94.64090909
2,3,1,2,2,91.57037037
1,0,0,0,0,77.45
0,1,0,0,1,87.21724138
0,2,0,1,0,80.42195122
1,2,0,0,1,85.115
2,0,1,2,0,86.8804878
2,1,0,2,1,91.14576271
2,1,2,1,1,90.52765957
1,3,0,3,1,94.47123288
1,2,1,2,3,87.85533981
4,1,0,2,3,93.18656716
0,0,0,0,1,64.55172414
1,1,0,0,0,90.45
1,1,0,0,1,77.98333333
0,0,1,1,2,92.4
2,1,1,1,0,88.92222222
0,1,1,2,2,91.57916667
1,1,5,0,0,94.66122449
2,0,1,4,1,94.70615385
4,1,1,2,1,90.68333333
