#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,0,1,0,45.92291667
1,1,0,0,0,74.01904762
0,1,1,0,1,81.48714286
1,1,1,1,0,80.87361111
1,0,1,2,1,96.55204082
0,0,1,2,3,98.96805556
3,1,0,2,1,96.75576923
0,3,2,1,2,97.16296296
4,1,2,1,1,93.95575221
2,1,2,4,1,99.18988764
0,0,1,0,0,70.48
1,0,1,0,0,73.18181818
1,0,1,0,1,71.14745763
1,0,1,1,1,92.25064935
1,2,0,1,1,94.17111111
3,1,1,1,0,83.58133333
2,1,1,2,1,97.00512821
1,2,2,0,3,97.15945946
1,1,0,4,3,99.54145078
2,1,4,2,1,97.47818182
0,0,0,1,0,47.18909091
1,0,1,0,0,72.95217391
1,1,0,0,1,72.445
1,1,0,0,2,92.51153846
3,0,2,0,0,97.37631579
2,1,0,1,2,96.51650485
1,4,1,0,1,88.4057377
2,2,1,2,1,97.08814815
0,2,1,3,3,99.5575
2,2,4,1,1,95.90125786
0,0,1,0,0,69.91904762
0,0,0,2,0,78.43968254
1,0,1,0,1,72.78275862
1,0,0,1,2,91.7627907
1,1,1,0,2,94.53804348
2,0,1,1,2,96.33203883
0,4,1,1,1,95.06
1,2,2,2,1,97.87567568
4,1,1,2,1,96.85
3,1,3,2,1,97.0496732
0,0,1,0,0,67.76190476
1,0,0,1,0,48.31836735
1,1,1,0,0,94.11714286
1,0,1,0,2,93.72763158
1,2,0,1,1,95.03736264
2,0,1,2,1,96.88431373
1,1,1,3,1,99.60217391
4,0,1,1,2,96.20849057
3,3,2,0,1,88.25793651
1,3,0,1,5,99.36633663
0,1,0,0,0,69.78571429
1,0,1,0,0,75.14761905
0,1,0,2,0,92.35
2,0,1,0,1,73.53559322
2,1,0,2,0,92.65128205
0,0,1,1,4,99.50482759
1,1,2,2,1,96.74
2,1,2,2,1,97.35851852
3,1,3,1,1,93.85538462
0,2,2,3,3,99.53669725
1,0,0,0,0,26.72
0,1,1,0,0,92.40606061
1,1,0,0,1,72.0779661
0,0,2,1,1,93.17472527
3,0,0,1,1,82.90149254
0,0,2,3,1,98.96277372
0,2,1,2,2,99.04350649
3,2,1,2,0,93.48672566
1,4,2,1,1,95.64779874
0,4,1,4,1,99.33018868
0,0,0,0,1,45.74
1,0,1,0,0,72.36363636
1,1,1,0,0,93.70857143
0,0,3,1,0,83.90113636
1,2,1,1,0,85.54883721
2,0,1,1,2,96.42095238
0,4,1,2,0,95.56884058
1,1,3,1,2,97.0589404
2,2,3,1,1,94.91468531
1,4,2,2,1,97.75714286
1,0,0,0,0,27.22
0,0,0,1,1,77.46153846
1,0,1,1,0,71.74310345
1,0,1,0,2,92.52105263
2,1,0,1,1,93.36623377
3,1,1,1,0,83.74931507
3,1,0,3,0,96.58834951
2,1,2,2,1,97.00526316
2,1,2,4,0,99.65
2,4,1,1,2,97.68035714
0,0,0,1,0,45.644
0,2,0,0,0,92.78181818
0,0,0,1,2,90.13023256
1,2,1,0,0,98.554
2,1,0,2,0,92.66623377
1,2,2,1,0,85.35277778
1,2,2,1,1,93.79761905
2,1,1,2,2,99.06028369
4,1,1,3,0,96.90491803
