#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,1,0,0,0,45.86923077
1,0,0,1,0,41.53636364
0,1,2,0,0,86.36086957
0,2,1,0,1,76.97755102
2,1,0,1,1,79.72830189
1,0,2,2,1,90.04029851
2,0,2,1,2,89.99411765
0,2,3,1,2,94.23068182
3,3,3,0,0,98.28666667
2,5,1,0,2,92.6702381
0,0,0,0,1,43.48857143
0,1,1,0,0,72.9
0,1,1,1,0,69.20681818
0,1,1,1,1,84.54137931
3,0,1,1,0,62.37142857
1,3,0,0,2,89.17619048
2,1,1,1,2,90.13623188
0,2,1,2,3,95.68039216
2,4,2,0,1,86.27746479
2,4,1,1,2,94.22359551
1,0,0,0,0,14.94
1,1,0,0,0,50.30769231
2,0,0,1,0,49.09230769
1,1,0,2,0,76.68518519
0,0,0,3,2,90.44578313
1,1,1,0,3,90.79275362
3,1,1,2,0,86.69482759
3,3,1,0,1,82.58103448
2,2,2,3,0,93.76097561
5,2,0,3,0,90.25972222
1,0,0,0,0,15.56
0,1,1,0,0,72.6
0,1,0,0,2,77.15576923
0,2,0,2,0,84.81929825
0,2,0,1,2,90.94626866
1,0,0,3,2,91.5627907
2,1,1,1,2,92.03857143
0,2,0,5,1,97.77777778
5,0,4,0,0,95.77575758
5,0,2,2,1,91.62253521
0,1,0,0,0,45.92307692
0,1,1,0,0,74.00588235
1,1,0,0,1,58.17857143
0,1,2,1,0,76.24
0,1,0,2,2,90.40519481
2,1,2,1,0,76.8627451
1,4,1,1,0,82.7296875
1,2,3,0,2,93.06133333
1,2,1,2,3,96.44313725
1,1,0,3,5,99.01370968
0,0,0,0,1,40.19393939
0,0,0,2,0,67.22916667
1,1,1,0,0,76.22777778
1,1,0,0,2,77.43846154
0,1,0,1,3,90.97702703
1,2,1,1,1,87.76212121
1,2,0,4,0,93.7617284
2,1,1,2,2,94.2695122
2,0,0,2,5,96.99017857
4,2,2,1,1,91.3375
0,0,1,0,0,44.76153846
0,0,1,1,0,55.86585366
0,2,0,1,0,68.21111111
1,1,0,1,1,77.56727273
0,2,1,1,1,87.446875
0,2,1,2,1,92.47142857
2,0,2,1,2,90.43943662
2,2,1,1,2,92.27402597
3,0,2,2,2,93.64534884
2,2,2,2,2,96.10721649
1,0,0,0,0,15.1
0,0,1,0,1,56.8
0,1,1,0,1,68.54444444
0,0,0,3,1,84.32608696
0,0,1,4,0,89.4012987
2,0,0,2,2,87.4
0,2,2,2,1,93.01807229
2,0,1,3,2,94.62808989
0,5,1,1,2,94.73125
5,1,1,3,0,90.6
0,0,0,0,1,55.68717949
0,2,0,0,0,72.55555556
0,1,0,2,0,75.95636364
3,0,0,0,1,46.44411765
1,2,0,1,1,83.85517241
0,3,0,2,1,91.16315789
2,2,1,0,2,89.79384615
0,2,2,2,2,94.790625
1,1,4,1,2,93.4923913
4,1,4,0,1,83.01470588
0,0,1,0,0,44.19230769
0,0,1,1,0,56.63333333
2,1,0,0,0,51.69285714
1,1,0,1,1,76.48823529
2,2,0,1,0,71.72666667
1,0,3,0,2,89.54444444
1,1,4,0,1,85.72580645
0,2,2,2,2,95.30515464
1,3,3,1,1,93.45529412
