#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,0,0,1,43.62564103
0,1,0,0,1,69.46410256
0,1,1,1,0,87.71363636
3,0,0,1,0,51.74871795
1,1,1,1,1,92.67301587
1,2,1,1,1,94.20684932
1,0,2,0,4,99.25280899
0,2,4,2,0,95.85904762
3,2,1,1,2,97.22386364
3,2,3,2,0,94.32244898
0,1,0,0,0,68.15
1,0,0,1,0,46.56666667
0,1,0,1,1,93.30204082
1,1,1,0,1,82.53958333
0,1,2,1,1,96.42173913
1,2,1,1,1,94.64366197
1,4,1,1,0,88.48888889
1,2,1,3,1,99.305
0,1,2,3,3,99.3496124
0,2,4,3,1,99.48244275
1,0,0,0,0,26.98
1,1,0,0,0,73.54375
1,0,0,1,1,77.64489796
0,0,0,1,3,99.05538462
0,1,1,1,2,98.16712329
3,0,1,0,2,92.59245283
2,0,2,1,2,96.87402597
1,2,2,2,1,97.61649485
1,2,1,2,3,99.60614035
1,1,1,4,3,99.61578947
0,0,0,1,0,43.7974359
0,0,2,0,0,72.52666667
0,0,1,1,1,93.39791667
0,1,1,2,0,93.00327869
0,1,1,2,1,96.32432432
1,1,1,1,2,98.73611111
3,1,1,0,2,95.02307692
1,1,2,2,2,99.288
3,2,3,0,1,88.36352941
4,1,1,1,3,99.57096774
0,0,0,1,0,43.62820513
1,1,0,0,0,74.05625
0,1,0,0,2,93.74693878
2,1,0,0,1,74.22439024
2,0,0,0,3,91.67368421
1,3,1,0,1,85.44444444
1,2,1,1,2,97.67356322
1,2,1,1,3,99.123
1,2,3,1,2,97.32293578
3,1,0,2,4,99.16090909
1,0,0,0,0,25.48
1,0,0,0,1,46.68974359
1,1,0,1,0,72.73589744
1,0,1,2,0,94.71176471
0,0,2,3,0,97.55405405
0,4,2,0,0,99.08484848
0,0,1,3,3,99.65142857
1,4,1,2,0,95.39787234
0,4,1,2,2,99.46721311
3,2,3,1,1,94.39285714
0,0,0,0,1,43.2975
0,0,1,0,1,69.35384615
0,1,0,2,0,93.346
2,0,1,0,1,74.6
1,1,1,0,2,93.585
1,1,1,2,1,97.64533333
1,3,1,1,1,94.03095238
0,2,3,2,1,98.05961538
3,2,1,1,2,97.53932584
1,2,1,4,2,99.38230769
0,0,0,0,1,43.84871795
0,0,0,1,1,74.69361702
1,0,1,0,1,71.9175
0,1,0,1,2,97.38870968
0,1,2,1,1,95.91690141
0,1,2,2,1,98.3297619
2,2,0,0,3,97.81447368
0,2,1,2,3,99.59385965
3,0,1,2,3,99
2,2,5,1,0,89.97904762
0,1,0,0,0,68.4
0,0,1,1,0,68.4875
1,0,0,0,2,76.99148936
1,1,0,0,2,94.4627451
1,0,1,2,1,97.75625
1,2,0,0,3,97.98133333
1,1,1,3,1,98.92727273
3,2,2,0,1,89.25211268
1,3,1,1,3,98.99279279
3,2,2,2,1,97.592
0,1,0,0,0,68.8625
1,1,0,0,0,73.85625
1,0,1,0,1,71.9725
2,0,0,1,1,79.43333333
1,2,1,0,1,88.69473684
0,4,0,0,2,95.5
0,2,4,0,1,89.77692308
2,0,1,2,3,99.57659574
4,0,4,0,1,87.72666667
