#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,1,0,0,0,0,0,42.76875
1,0,0,1,0,0,0,0,47.025
0,0,0,0,1,0,1,1,80.2620438
0,0,0,1,0,1,2,0,85.7425
0,1,2,0,1,0,1,0,85.08671329
0,1,0,4,1,0,0,0,57.53333333
1,1,2,3,0,0,0,0,95.56666667
1,2,1,2,1,0,1,0,86.67870968
2,1,3,0,0,1,1,1,89.3345679
0,2,2,0,0,1,3,2,98.92541667
1,0,0,0,0,0,0,0,16.50833333
1,0,0,0,0,1,0,0,33.42622951
0,0,0,0,1,1,1,0,84.02658228
1,2,0,0,0,1,0,0,50.82307692
0,0,1,1,1,2,0,0,88.72857143
1,1,0,0,2,0,2,0,93.88221154
0,1,3,1,0,0,1,1,71.01084337
2,2,0,1,1,2,0,0,91.07085714
2,1,0,1,0,0,3,2,95.02222222
0,0,2,1,5,0,0,2,99.13497758
0,0,0,0,0,0,1,0,32.57166667
1,0,0,0,0,0,1,0,33.4295082
0,0,1,0,0,1,1,0,79.68705036
0,0,1,0,0,0,1,2,63.4875
0,2,0,0,0,1,2,0,88.97939394
0,0,2,2,1,1,0,0,84.66066667
0,2,2,1,0,0,0,2,73.13432836
0,1,0,0,1,1,3,2,99.19757282
0,1,1,1,2,1,1,2,98.55540541
2,2,0,0,0,1,4,1,98.26745283
0,1,0,0,0,0,0,0,43.81875
0,0,0,0,0,2,0,0,75.56940299
1,0,0,0,0,0,1,1,45.05322581
1,1,0,1,0,0,1,0,47.87619048
1,1,1,0,0,1,0,1,62.925
2,1,0,1,2,0,0,0,83.07183099
3,0,1,1,0,1,1,0,81.60402685
3,0,0,1,2,1,0,1,91.20295858
1,1,2,1,0,0,4,0,95.85545455
2,1,1,2,0,1,1,2,89.23734177
0,0,0,0,0,0,0,1,23.47209302
0,0,2,0,0,0,0,0,73.97777778
1,0,0,1,1,0,0,0,38.03870968
0,1,1,0,0,1,1,0,81.17569444
0,2,1,1,0,0,1,0,60.19295775
1,0,0,1,1,1,1,1,90.41686747
0,1,1,2,0,2,1,0,91.196
0,1,2,3,1,1,0,0,86.63972603
0,2,0,3,0,1,0,3,81.85113636
0,1,1,2,1,1,3,1,98.87407407
0,1,0,0,0,0,0,0,43.40625
0,0,1,1,0,0,0,0,60.8
1,0,0,0,2,0,0,0,76.05985401
1,2,0,0,0,0,1,0,51.64769231
0,0,1,0,0,0,1,3,74.25151515
2,2,2,0,0,0,0,0,95.23529412
2,0,1,0,2,2,0,0,94.08638498
0,0,2,0,4,1,0,1,98.7
3,1,2,1,1,0,0,1,67.77529412
0,3,1,2,2,0,1,1,94.4515
0,1,0,0,0,0,0,0,43.675
0,0,1,0,0,0,1,0,40.27868852
0,0,0,0,1,0,1,1,80.74565217
1,1,0,2,0,0,0,0,81.45
0,3,0,0,1,1,0,0,84.20763889
0,3,1,0,1,1,0,0,86.04931507
0,1,0,1,2,2,0,1,95.83990826
2,1,0,2,1,0,0,2,70.29480519
2,1,2,1,1,0,1,1,89.06086957
3,1,1,1,0,2,1,1,92.99502762
0,0,0,0,0,1,0,0,31.6637931
1,1,0,0,0,0,0,0,54.925
0,0,1,1,0,0,0,1,43.19333333
0,1,0,1,0,1,1,0,75.35221239
1,1,0,0,0,1,2,0,88.52987805
1,0,2,1,0,1,0,1,66.64782609
2,2,2,0,1,0,0,0,65.81710526
0,1,2,0,2,1,2,0,97.21598174
1,0,0,4,1,1,1,1,91.75333333
2,0,2,1,1,0,2,2,94.66162162
0,1,0,0,0,0,0,0,43.8125
0,0,0,0,2,0,0,0,75.77246377
0,2,0,1,0,0,0,0,79.55909091
0,0,3,0,0,1,0,0,55.84117647
0,1,0,1,1,1,0,1,85.88811189
0,0,0,0,1,0,4,1,98.56630435
2,1,0,0,1,2,1,0,93.77630332
0,0,2,1,2,1,2,0,96.67657658
4,1,0,1,1,2,0,0,89.62146893
2,0,0,1,0,0,3,4,96.2957672
0,0,0,0,0,1,0,0,31.96271186
1,0,0,0,0,1,0,0,34.01525424
0,0,1,0,1,0,0,1,51.68870968
1,1,0,1,1,0,0,0,48.31774194
1,0,1,0,2,0,0,1,84.89858156
0,0,0,1,2,1,1,1,95.58509615
0,0,0,1,0,3,2,1,98.823
2,0,2,0,3,1,0,0,94.17636364
3,1,0,0,2,2,1,0,96.55522388
