#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,1,0,0,0,0,0,65.61875
0,1,0,1,0,0,0,0,81.42
0,0,0,0,0,0,0,3,75.87173913
2,0,0,1,0,0,1,0,52.26774194
1,1,2,0,0,0,1,0,70.79875
1,0,0,2,1,1,1,0,93.3804878
0,0,1,2,2,0,1,1,98.19447514
2,2,0,1,0,1,0,2,84.42043011
0,2,1,1,2,0,2,1,98.92074689
2,1,0,2,1,3,1,0,99.15324675
0,0,0,0,0,1,0,0,39.14821429
0,0,1,0,1,0,0,0,52.83934426
1,1,0,0,0,1,0,0,56.34354839
1,1,0,1,1,0,0,0,60.61940299
1,1,0,2,0,1,0,0,64.29722222
2,0,2,0,1,1,0,0,82.09009009
1,1,1,0,1,2,0,1,97.79608939
3,2,1,0,0,0,1,1,78.39473684
1,1,1,4,0,0,1,1,80.106
4,1,1,1,2,0,0,1,92.80693642
0,1,0,0,0,0,0,0,67.41875
0,1,0,0,1,0,0,0,53.98196721
0,0,0,2,1,0,0,0,51.44285714
0,2,0,0,1,0,0,1,75.34054054
2,0,1,0,0,1,1,0,88.41805556
0,0,1,1,3,0,1,0,99.20526316
1,0,1,0,0,1,0,4,91.3173913
0,2,3,1,2,0,0,0,91.05721925
1,0,3,3,1,0,0,1,81.09142857
1,2,1,2,1,0,2,1,98.40338983
0,0,0,0,1,0,0,0,39.66
0,0,0,0,1,0,0,1,55.77
0,1,0,0,0,1,0,1,68.20153846
1,0,0,0,1,1,0,1,90.15107914
1,0,2,0,0,0,1,1,74.63589744
1,1,1,0,3,0,0,0,94.85317919
2,1,0,2,1,0,0,1,75.20487805
2,0,0,0,2,1,2,1,99.39857143
1,4,0,2,0,1,1,0,90.90216216
1,1,2,0,3,1,2,0,99.3093633
0,0,0,0,0,0,0,1,31.815
1,0,0,0,0,0,1,0,41.66551724
0,1,0,0,1,0,0,1,70.096875
0,1,1,0,0,2,0,0,82.08235294
0,0,0,2,0,0,2,1,90.67346939
1,0,1,0,2,0,1,1,98.0091954
2,1,1,0,0,0,1,2,84.20454545
2,2,1,0,0,2,0,1,91.93875969
1,2,0,2,1,0,2,1,97.75208333
2,2,0,1,0,0,1,4,91.99912281
0,1,0,0,0,0,0,0,66.80625
0,0,1,0,0,1,0,0,52.8295082
1,0,1,0,1,0,0,0,56.51290323
1,0,0,0,2,1,0,0,92.85741935
0,0,0,1,0,1,0,3,87.70821918
1,1,0,0,0,0,1,3,90.36296296
0,0,0,2,1,1,2,1,99.30328638
2,2,1,1,0,1,1,0,89.1867052
2,0,2,0,1,2,1,1,99.13141593
1,1,1,2,2,1,0,2,98.12654028
0,0,0,0,0,0,0,1,31.86410256
1,1,0,0,0,0,0,0,75.08333333
1,1,0,1,0,0,0,0,86.02727273
0,0,0,2,1,1,0,0,85.49142857
2,1,0,0,2,0,0,0,83.7752381
1,0,0,2,1,1,1,0,93.50679012
0,0,2,1,1,2,1,0,99.2281106
2,3,0,1,0,1,0,1,78.0989899
0,1,0,0,0,0,7,1,99.42077465
1,2,0,1,1,4,0,1,99.46344538
0,0,0,0,0,0,1,0,39.50357143
0,0,0,0,1,1,0,0,81.44135338
1,0,0,0,1,0,0,1,59.34666667
1,1,2,0,0,0,0,0,97.075
1,0,1,0,1,1,0,1,92.1972973
0,0,1,1,0,1,3,0,99.13661972
1,0,0,1,1,2,1,1,99.13486239
0,1,1,1,0,1,2,2,98.57166667
0,1,3,1,1,0,1,2,96.96443299
1,0,2,2,2,1,0,2,98.0352657
0,0,0,1,0,0,0,0,50.55454545
0,0,0,1,1,0,0,0,46.28965517
1,0,0,0,0,1,0,1,59.675
1,0,0,1,2,0,0,0,84.73913043
1,0,2,1,1,0,0,0,68.18
1,0,0,1,2,0,2,0,99.08153846
0,1,0,1,1,1,2,1,99.05656109
0,1,3,0,1,1,1,1,98.32475248
1,0,2,1,4,0,0,1,99.41623932
1,0,3,3,0,0,2,1,93.42751323
0,0,0,0,1,0,0,0,39.10175439
1,1,0,0,0,0,0,0,79.82941176
0,0,0,0,1,1,0,1,88.69565217
1,2,0,0,1,0,0,0,66.37285714
1,0,0,2,1,1,0,0,86.90204082
0,0,2,0,0,2,0,2,95.24360902
3,1,0,2,0,0,1,0,66.30128205
0,1,1,1,4,0,0,1,98.76883117
1,1,1,2,2,1,1,0,98.95283843
