#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,1,0,0,85.18823529
0,0,1,1,0,90.225
0,1,1,0,1,97.18611111
0,1,0,1,2,68.55862069
0,3,0,1,1,55.08148148
0,2,0,2,2,74.09090909
0,0,3,2,2,98.5011236
1,2,0,2,3,87.28157895
1,2,4,0,2,98.73428571
2,3,1,2,2,98.96491228
1,0,0,0,0,32.08
1,0,0,1,0,65.06666667
1,2,0,0,0,74.33333333
1,0,2,0,1,97.13898305
1,1,2,1,0,98.8754717
2,1,1,2,0,99.692
2,2,1,0,2,98.30816327
2,3,0,2,1,62.45757576
1,2,1,5,0,97.10909091
0,3,1,3,3,98.73174603
1,0,0,0,0,31.42
0,0,0,1,1,43.144
0,1,1,0,1,96.05142857
1,0,0,0,3,81.61724138
2,2,0,1,0,89.26
1,1,1,2,1,99.47619048
0,2,2,1,2,97.60724638
0,0,1,6,1,98.12916667
2,1,2,3,1,99.20882353
1,3,2,1,3,98.205
0,0,1,0,0,85.67058824
0,1,1,0,0,89.05
1,1,0,1,0,82.01428571
0,1,1,2,0,97.19090909
2,1,2,0,0,98.8
1,2,0,2,1,60.51724138
4,0,2,1,0,98.5362069
2,2,1,3,0,97.9
1,1,1,2,4,98.64923077
3,2,1,2,2,99.09454545
0,0,0,0,1,32.07083333
0,1,0,1,0,78.48333333
0,0,1,2,0,93.15909091
0,1,1,0,2,99.88604651
3,2,0,0,0,92.0875
1,1,1,2,1,98.75238095
2,0,2,2,1,99.76290323
2,2,1,2,1,98.58863636
0,1,3,3,2,98.67553191
2,4,1,2,1,98.95833333
1,0,0,0,0,36.825
0,0,0,0,2,57.20740741
0,1,1,1,0,91.34285714
2,0,0,1,1,50.91153846
3,0,0,1,1,51.13448276
1,1,2,2,0,98.90689655
1,1,3,1,1,99.40375
2,1,0,1,4,96.72
0,2,1,3,3,97.79516129
1,3,2,2,2,99.38266667
0,1,0,0,0,34.98
1,0,1,0,0,88.26666667
0,1,0,0,2,62.41111111
1,0,2,0,1,97.32166667
0,1,1,1,2,98.5625
3,1,1,0,1,98.435
1,1,1,2,2,97.68235294
1,0,3,3,1,97.77647059
2,4,0,1,2,74.57297297
2,3,1,3,1,97.492
0,0,0,0,1,31.9826087
1,0,1,0,0,86.38888889
0,0,0,2,1,49.9
2,1,0,0,1,46.972
0,2,1,2,0,96.45416667
2,0,1,2,1,97.86428571
2,0,2,3,0,99.71967213
2,0,2,1,3,98.03116883
2,2,1,3,1,99.01041667
1,1,1,4,3,98.84285714
0,0,0,0,1,32.4375
1,0,1,0,0,87.08888889
1,0,0,0,2,62.78148148
0,1,1,2,0,97.71818182
3,0,0,2,0,89.31818182
1,4,1,0,0,96.23478261
3,0,3,0,1,98.1
2,1,1,3,1,99.78913043
1,2,1,3,2,98.14814815
2,1,3,1,3,99.121
0,1,0,0,0,34.3
1,0,0,0,1,36.05833333
0,1,1,1,0,92.93333333
0,1,0,2,1,54.06666667
1,1,1,1,1,98.62105263
1,0,3,2,0,99.82957746
0,0,3,3,1,96.84761905
1,1,4,1,1,98.77227723
3,2,1,1,2,99.604
