#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
1,0,0,0,0,33.48
0,0,1,0,1,92.74893617
1,2,0,0,0,70.88571429
0,0,2,1,1,96.036
2,2,0,0,1,46.08
3,1,1,1,0,97.328125
1,1,4,0,1,96.21031746
2,1,3,1,1,95.56168224
1,2,4,1,1,95.02945736
2,2,3,1,2,97.60338983
0,1,0,0,0,31.53333333
1,0,0,0,1,33.8030303
1,0,1,0,1,96.97234043
2,0,0,2,0,96.57
2,1,0,1,1,51.86944444
1,1,0,1,3,84.79069767
1,1,1,2,2,97.2671875
1,4,2,0,1,97.795
0,2,4,2,1,95.74274809
2,3,1,4,0,98.87317073
0,0,0,1,0,52.75
0,0,1,0,1,94.66382979
1,0,0,1,1,44.5
0,1,0,2,1,48.41944444
0,2,1,1,1,95.81886792
0,0,4,1,1,96.20650407
1,2,2,1,1,94.78641975
1,1,3,1,2,97.23652174
4,1,1,0,3,96.82142857
0,5,2,2,1,95.73953488
0,1,0,0,0,32.2
1,0,0,1,0,65.84285714
1,1,0,1,0,81.8
0,2,2,0,0,98.86031746
1,0,2,1,1,94.29350649
3,1,1,0,1,94.46923077
3,1,1,0,2,97.00169492
2,1,0,2,3,85.16170213
3,2,0,1,3,86.46808511
2,2,2,2,2,96.23225806
0,0,0,1,0,52.03333333
0,0,1,1,0,90.22857143
2,0,0,0,1,38.35151515
1,0,1,2,0,96.28333333
0,3,2,0,0,98.4140625
1,1,1,2,1,99.33207547
2,3,1,0,1,98.53773585
0,3,2,2,1,95.59047619
0,4,0,1,4,98.85294118
2,2,0,4,2,77.284
0,0,1,0,0,85.312
0,1,0,1,0,67
0,1,1,1,0,94.7
1,1,1,1,0,97.87931034
0,1,1,1,2,96.87333333
0,4,0,0,2,68.085
2,1,3,0,1,95.49615385
3,2,0,1,2,72.44318182
3,2,4,0,0,99.71355932
2,2,0,5,1,62.92553191
0,0,0,0,1,30.534375
2,0,0,0,0,50.83333333
0,0,2,0,1,94.55616438
0,1,1,0,2,98.20185185
1,0,1,3,0,98.63823529
1,2,1,1,1,98.26346154
0,1,4,1,1,95.41328125
2,3,1,0,2,95.66666667
3,0,3,2,1,96.61081081
1,3,2,3,1,96.80340909
0,0,0,1,0,52.53333333
0,0,2,0,0,96.1220339
2,0,0,1,0,76.925
1,2,0,1,0,89.54444444
0,1,2,0,2,96.76428571
2,2,0,2,0,92.22857143
3,0,0,2,2,71.78837209
1,0,2,3,2,96.39565217
6,0,2,1,0,98.48732394
4,1,1,3,1,97.83
0,0,0,1,0,53.01666667
0,0,1,1,0,91.85925926
0,3,0,0,0,72.38571429
1,2,1,0,0,97.87777778
1,1,2,1,0,98.49833333
0,2,2,2,0,98.68088235
2,1,2,2,0,98.20746269
2,1,4,0,1,96.41811024
1,2,1,1,4,98.63205128
2,3,3,2,0,99.02315789
1,0,0,0,0,34.76
0,2,0,0,0,57.4
0,0,1,1,1,97.47755102
1,1,0,1,1,45.73428571
0,0,3,1,1,97.47058824
1,1,2,2,0,99.4969697
2,0,0,3,2,72.76590909
2,0,1,3,2,97.37910448
4,0,2,1,2,98.05824176
