#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,1,0,0,0,7.55
0,1,1,0,0,36.68
0,2,1,0,0,37.54
0,0,1,2,1,42.92857143
1,2,1,1,0,46.04
3,0,2,0,1,79.1125
1,2,0,2,2,48.18333333
0,3,2,2,1,83.45555556
1,2,1,3,2,69.9125
1,2,4,2,1,89.1
0,0,0,1,0,16.1
0,1,0,0,1,17.23333333
0,0,1,2,0,45.02
0,3,0,0,1,19.36666667
0,1,1,1,2,60.6
1,1,0,4,0,52.46666667
2,2,1,2,0,54.6
2,2,0,3,1,38.53333333
2,2,0,1,4,63.07142857
3,2,2,2,1,77.18
0,0,0,0,1,15.23333333
0,1,1,0,0,35.34
1,1,0,1,0,15.66666667
1,0,0,0,3,40.44285714
0,0,3,0,2,80.85833333
1,2,1,1,1,52.37142857
1,2,4,0,0,86.16153846
3,2,1,2,0,50.58333333
4,1,0,1,3,48.5
2,1,3,2,2,85.03076923
1,0,0,0,0,5.5
0,0,0,1,1,20.6
2,0,0,0,1,18.38
0,0,0,3,1,32.48333333
1,0,1,2,1,56.55
0,1,1,1,3,63.975
2,4,0,1,0,27.925
2,1,0,1,4,54.75
1,1,1,4,2,75.625
1,3,1,2,3,71.7
0,0,0,0,1,14.64
1,0,0,1,0,14.6
0,2,0,0,1,18.06666667
1,1,2,0,0,68.08571429
1,0,2,0,2,73.82222222
3,2,1,0,0,38.3
1,2,1,2,1,59.43333333
1,1,1,3,2,60.375
0,3,3,3,0,86.49
1,3,2,1,3,78.83636364
0,0,0,1,0,16.9
1,0,0,0,1,16.05
0,2,1,0,0,38.12
0,0,2,1,1,78.8875
1,2,1,0,1,46.63333333
3,0,0,2,1,29.11666667
1,2,2,0,2,79.58888889
2,3,0,2,1,37.63333333
2,1,5,1,0,88.69333333
0,3,4,2,1,89.09285714
0,1,0,0,0,5.6
0,0,1,1,0,46.64
0,1,1,0,1,51.26666667
1,0,2,1,0,74.71666667
1,0,0,3,1,32.25
2,3,0,0,1,25.16666667
0,3,2,1,1,72.14444444
4,2,0,1,1,29.98333333
1,1,2,2,3,81.58181818
1,3,3,2,1,82.96153846
0,0,1,0,0,27.56
0,0,0,1,1,19.6
1,1,1,0,0,31.38
2,0,1,0,1,43.3
0,1,2,1,1,70.67777778
0,1,1,2,2,61.0625
6,0,0,0,1,24.23333333
1,2,1,3,1,63
0,3,3,3,0,86.3
1,1,2,2,4,84.675
0,0,0,0,1,14.1
0,0,0,0,2,30.3
1,0,0,2,0,26.03333333
0,2,1,1,0,47.08
1,0,1,3,0,49.05
1,2,0,1,2,38.95714286
1,2,3,0,1,80.65833333
1,1,2,3,1,84.91111111
1,2,3,0,3,87.65
4,3,1,1,1,54.01428571
1,0,0,0,0,8.55
1,0,0,0,1,15.5
0,0,1,1,1,52.23333333
1,0,1,1,1,41.51428571
0,0,2,2,1,71.92222222
1,2,0,1,2,48.11666667
1,2,1,2,1,50.72857143
1,0,2,2,3,85.4
0,1,2,2,4,85.19166667
