#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,1,0,0,93.6125
0,0,0,0,2,98.61578947
0,0,1,2,0,98.64509804
1,2,1,0,0,99.0125
0,1,1,2,1,99.45696203
1,2,2,0,1,99.24201681
2,2,2,0,1,99.22131148
3,1,1,0,3,99.26153846
5,0,1,1,2,99.77570093
1,1,1,4,3,99.30916031
0,0,0,1,0,69.64285714
2,0,0,0,0,89.47142857
1,0,1,0,1,99.48732394
1,1,2,0,0,99.27282609
1,2,1,1,0,99.73518519
0,2,2,1,1,99.25655738
3,4,0,0,0,97.628
3,0,1,0,4,99.63664122
2,1,1,4,1,99.34166667
1,0,2,3,4,99.53480663
0,0,1,0,0,92.62
0,1,0,1,0,95.76666667
0,1,1,1,0,99.89787234
0,1,2,1,0,99.44255319
3,0,1,1,0,98.62830189
1,2,0,2,1,76.65098039
4,0,1,2,0,99.84516129
3,2,1,2,0,98.66515152
1,0,1,4,3,99.5703125
1,2,2,2,3,99.82035928
0,1,0,0,0,54.51666667
0,1,1,0,0,98.72195122
1,0,1,0,1,99.02985075
2,0,1,1,0,99.9
1,3,1,0,0,98.48269231
3,0,1,1,1,99.2164557
1,1,2,2,1,99.9233871
1,2,0,2,3,98.96385542
3,2,0,2,2,98.72089552
1,2,2,3,2,99.79591837
0,1,0,0,0,52.66666667
0,0,0,2,0,93.18181818
1,0,0,1,1,70.87894737
0,3,0,0,1,70.36097561
0,1,1,1,2,99.5125
3,2,0,1,0,96.56956522
0,0,2,3,2,99.45957447
1,1,2,2,2,99.82142857
2,5,1,1,0,98.62318841
1,1,2,5,1,99.82877698
1,0,0,0,0,58.52
1,0,0,1,0,91
0,1,1,1,0,98.09574468
3,0,1,0,0,98.61702128
1,1,1,1,1,99.42564103
0,0,4,0,2,99.66464646
1,3,1,1,1,99.88470588
2,4,1,0,1,99.32619048
2,2,1,0,4,99.25373134
4,2,1,2,1,99.0979798
0,1,0,0,0,54.46666667
1,0,1,0,0,99.6175
1,0,1,1,0,99.40869565
1,1,1,1,0,98.53333333
0,2,2,0,1,99.49912281
1,1,1,0,3,99.33909091
2,0,3,1,1,99.75
1,0,2,2,3,99.45541401
4,0,2,2,1,99.72442748
1,1,1,2,5,99.54125
0,0,0,1,0,71.45714286
0,1,0,0,1,65.39411765
1,2,0,0,0,92.39090909
0,2,2,0,0,99.64252874
2,2,0,1,0,97.5
0,2,3,1,0,99.89637681
1,1,1,3,1,99.06896552
1,1,0,3,3,98.96341463
2,4,1,1,1,99.44444444
2,1,3,2,2,99.65737705
0,0,0,0,1,56.284375
0,0,0,0,2,98.15789474
0,0,1,2,0,99.6875
1,1,0,2,0,100
1,0,1,1,2,99.07472527
1,1,1,2,1,99.43253012
1,1,0,3,2,97.55967742
1,1,3,2,1,99.11686747
1,0,4,4,0,99.50549451
2,0,3,3,2,99.85966851
0,0,1,0,0,93.23
1,1,0,0,0,90.71428571
0,0,0,1,2,97.53478261
1,1,0,0,2,98.04888889
0,0,2,2,1,99.16134454
1,0,0,3,2,98.37413793
1,3,1,2,0,98.42063492
2,2,0,2,2,99.50634921
2,3,1,1,2,99.75490196
