#tk0,#tk1,#tk2,#tk3,#tk4,cpu_usage
0,0,1,0,0,78.47
1,0,1,0,0,82.995
0,1,1,0,1,93.60487805
1,0,1,1,1,96.55
0,1,1,1,2,97.62653061
4,1,0,0,1,38.78333333
2,3,1,1,0,97.20740741
0,3,2,1,2,94.77625
4,1,1,0,3,96.46935484
4,2,3,1,0,98.53571429
1,0,0,0,0,23
1,0,0,1,0,58.48571429
0,0,1,1,1,93.12857143
0,2,2,0,0,96.41818182
2,0,2,1,0,97.64107143
0,1,4,0,1,92.85504587
3,0,2,1,1,94.54084507
3,1,1,1,2,98.45263158
1,1,2,3,2,95.67073171
4,1,1,3,1,98.8
0,0,1,0,0,78.54
0,0,0,1,1,31.39705882
0,0,0,0,3,57.03684211
0,1,2,0,1,90.43939394
1,2,2,0,0,97.68148148
1,2,0,0,3,66.38684211
2,3,1,0,1,99.48863636
0,2,2,3,1,93.684
3,3,2,0,1,93.62876712
2,0,1,1,6,97.33209877
0,1,0,0,0,26.85
1,0,0,1,0,57.3
0,1,2,0,0,94.03703704
1,0,2,0,1,92.24769231
0,2,0,3,0,89.58333333
3,1,0,1,1,42.46388889
1,0,4,1,1,94.10267857
1,2,1,1,3,98.17118644
1,1,2,3,2,95.40740741
2,2,5,0,1,93.16854839
1,0,0,0,0,24.48571429
0,0,0,0,2,42.55555556
1,1,0,1,0,67.7125
0,1,0,1,2,52.77368421
2,1,1,1,0,94.94166667
0,3,0,1,2,55.12
3,2,0,1,1,43.24358974
1,2,1,4,0,96.64375
2,2,2,3,0,99.05873016
4,0,2,2,2,94.97710843
1,0,0,0,0,26.4
0,1,0,0,1,25.96764706
1,0,0,1,1,34.14444444
0,0,3,1,0,97.19589041
0,2,2,1,0,97.75892857
1,1,1,1,2,90.91052632
0,2,1,1,3,95.02833333
0,3,3,2,0,99.11341463
1,4,3,1,0,98.73974359
1,3,1,4,1,99.69444444
1,0,0,0,0,24.45
2,0,0,0,0,40.73333333
0,1,0,1,1,33.3
1,1,0,1,1,35.43055556
0,2,0,0,3,63.43157895
2,0,1,1,2,97.01698113
1,0,3,1,2,97.46530612
1,0,2,3,2,96.01875
1,2,2,0,4,98.36781609
3,4,2,1,0,98.22698413
1,0,0,0,0,25.08333333
0,0,2,0,0,93.96481481
0,1,1,1,0,88.37391304
1,0,1,1,1,92.47727273
2,0,0,1,2,55.08947368
2,1,0,1,2,54.96666667
3,2,1,0,1,97.03333333
2,1,4,1,0,99.54019608
2,0,1,2,4,97.16
2,0,2,4,2,96.8304878
0,0,0,1,0,41.1
2,0,0,0,0,36.21428571
0,1,0,0,2,44.57297297
3,0,0,0,1,33.29142857
0,0,1,3,1,98.04893617
1,0,1,2,2,98.79074074
2,2,0,1,2,58.2075
2,1,1,1,3,95.76507937
2,1,0,5,1,53.55217391
2,6,1,0,1,96.26862745
0,1,0,0,0,24.27142857
0,0,2,0,0,92.47037037
0,0,2,1,0,95.78571429
0,2,1,0,1,93.85813953
2,0,1,0,2,94.36296296
0,1,2,0,3,96.25128205
1,2,1,1,2,98.98703704
2,1,1,1,3,95.60645161
0,5,0,3,1,52.02045455
