#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,1,0,0,0,0,0,0,25.82572816
0,0,0,1,0,1,0,0,27.39521531
0,0,1,0,0,0,1,1,28.76388889
0,0,1,1,1,1,0,0,76.26325581
0,1,1,0,2,0,0,1,98.93911111
2,0,0,0,0,2,1,1,65.58275862
2,3,1,0,0,0,0,1,97.57557252
2,1,0,1,2,0,0,2,98.47181467
4,2,0,0,3,0,0,0,99.34272997
0,1,3,2,0,2,2,0,97.5075
1,0,0,0,0,0,0,0,26.79148936
1,0,0,0,1,0,0,0,31.56919431
0,1,0,0,1,1,0,0,52.15821596
1,0,1,2,0,0,0,0,80.22876712
0,1,1,0,3,0,0,0,96.30798611
1,0,0,1,1,2,0,1,59.09414414
1,2,1,1,0,1,0,1,99.33606557
1,1,0,0,2,0,2,2,81.20595745
0,0,1,0,3,3,1,1,98.92983193
1,1,1,1,3,0,3,0,97.55555556
0,1,0,0,0,0,0,0,25.96995305
1,0,0,0,1,0,0,0,31.48301887
0,2,0,1,0,0,0,0,74.32818182
0,1,1,0,0,0,1,1,53.41455399
0,1,2,0,0,2,0,0,76.27511312
3,1,0,1,0,0,1,0,66.104329
2,1,0,0,0,2,2,0,41.42044444
0,0,1,0,3,1,0,3,99.08860759
1,2,1,2,0,3,0,0,98.25700326
2,0,3,3,0,1,0,1,99.37620321
0,0,0,0,0,0,1,0,29.33636364
0,0,0,0,0,0,2,0,52.79166667
0,0,2,0,0,1,0,0,52.31666667
0,1,1,0,1,1,0,0,75.74840183
0,0,1,1,2,0,0,1,97.7246696
1,1,1,0,0,2,0,1,59.62723214
1,0,2,2,1,1,0,0,95.32354839
2,2,0,0,2,0,2,0,97.81287879
2,2,1,1,2,1,0,0,97.01491003
3,2,2,2,1,0,0,0,98.78685969
0,0,0,0,0,1,0,0,30.3
1,0,0,0,0,0,0,1,32.45416667
0,1,0,0,0,0,1,1,28.73779904
0,0,0,2,0,0,2,0,53.34481132
0,2,0,2,0,1,0,0,99.06238938
0,0,1,2,1,1,1,0,98.48448276
1,1,2,1,1,0,1,0,97.75396825
0,0,2,3,2,0,1,0,98.85892421
1,0,0,1,3,3,0,1,99.3968
1,1,2,0,0,2,2,2,81.97344398
0,0,0,1,0,0,0,0,26.05924171
0,0,0,0,0,0,1,1,51.34166667
0,0,1,0,0,0,1,1,28.63333333
1,0,0,1,1,1,0,0,57.6562212
2,0,1,0,1,0,0,1,62.18818182
0,1,1,2,1,0,1,0,97.56573427
2,0,1,0,1,1,0,2,63.10087336
0,2,0,0,2,1,2,1,97.15125
2,1,0,1,3,1,1,0,98.74208861
0,2,2,1,1,2,2,0,98.44677871
0,0,0,1,0,0,0,0,26.03588517
1,0,0,0,0,0,0,1,32.48333333
0,0,0,1,0,0,1,1,28.92870813
0,2,0,0,1,0,0,1,76.16915888
2,1,0,0,0,1,0,1,39.81872146
0,3,1,1,0,0,0,1,98.08888889
1,1,0,0,3,1,1,0,96.64980392
1,1,2,0,1,0,2,1,99.00728745
0,0,4,3,1,0,0,1,99.16716418
0,1,2,0,4,1,0,2,99.12815534
0,0,1,0,0,0,0,0,26.60966184
0,0,0,0,0,1,0,1,52.50833333
1,0,1,0,0,0,0,1,32.89107981
0,2,0,0,1,0,1,0,76.71176471
1,0,0,1,0,0,1,2,35.66651376
1,1,0,0,1,1,2,0,59.21756757
1,0,1,0,1,1,1,2,59.59078947
1,1,0,1,1,2,2,0,81.03547009
0,1,2,1,2,1,0,2,98.55014245
3,1,1,0,2,0,1,2,98.75054545
0,1,0,0,0,0,0,0,25.96421569
1,0,1,0,0,0,0,0,31.52995392
1,0,0,0,1,0,1,0,32.90046512
1,0,2,0,0,1,0,0,56.73681818
0,1,1,0,0,0,3,0,54.40694444
1,0,1,1,1,0,2,0,81.48193833
2,0,1,2,1,0,0,1,96.12159091
1,2,0,1,1,1,0,2,98.66680162
3,0,2,2,0,0,2,0,98.26775362
2,1,2,2,2,0,1,0,98.75649203
0,0,0,1,0,0,0,0,26.00666667
0,0,0,1,0,1,0,0,27.26908213
1,0,0,0,1,0,1,0,32.63013699
0,0,2,0,2,0,0,0,99.17410714
1,0,0,1,0,1,1,1,35.39768519
1,0,2,0,1,0,1,1,80.93362445
1,1,1,1,1,2,0,0,98.41044177
2,0,0,0,2,2,2,0,63.95793991
1,0,2,2,0,2,1,1,99.23174603
