"#tk0","#tk1","#tk2","#tk3","cpu_usage"
0,0,1,0,7.12857142857143
0,1,0,1,10.0147058823529
0,0,2,1,8.85757575757575
1,1,2,0,14.9730769230769
4,0,0,1,24.2472222222222
2,0,4,0,19.5
1,2,3,1,22.6111111111111
2,0,2,4,34.3578947368421
0,3,5,1,25.2513513513514
0,3,4,3,36.6783783783784
0,1,0,0,6.03636363636364
1,0,0,1,10.6235294117647
0,2,0,1,14.1171428571429
0,2,1,1,15.3028571428571
1,1,1,2,22.0485714285714
2,1,1,2,26.4111111111111
3,1,1,2,31.1444444444444
3,1,1,3,37.4027777777778
3,3,3,0,40.075
2,4,2,2,40.3236842105263
1,0,0,0,6.312
1,1,0,0,11.448
0,2,1,0,14.1695652173913
0,2,0,2,20.1
2,2,1,0,24.4407407407407
0,1,3,2,20.1942857142857
2,1,2,2,27.6027777777778
2,1,2,3,34.0166666666667
2,2,2,3,38.6081081081081
3,2,5,0,38.4206896551724
1,0,0,0,6.24
1,0,0,1,10.7542857142857
1,1,1,0,13.1615384615385
1,2,0,1,18.8114285714286
3,2,0,0,28.8259259259259
1,2,1,2,25.9305555555556
4,1,2,0,33.1555555555556
2,1,2,3,34.1305555555556
2,0,4,3,32.872972972973
4,3,0,3,44.9272727272727
1,0,0,0,6.228
1,0,1,0,7.944
2,0,1,0,13.9038461538462
1,0,3,0,11.636
0,1,1,3,23.5714285714286
0,2,4,0,20.4608695652174
2,4,1,0,35.4259259259259
3,2,3,0,34.4592592592593
3,1,5,0,32.5785714285714
2,2,3,3,39.7815789473684
0,1,0,0,6.22272727272727
1,0,1,0,7.824
3,0,0,0,18.2384615384615
1,1,2,0,14.9961538461538
1,2,1,1,20
1,1,1,3,28.6371428571429
1,2,2,2,27.4444444444444
4,3,0,1,36.9277777777778
3,0,2,4,40.278947368421
2,3,4,1,35.3027777777778
0,0,0,1,6.23823529411765
0,0,1,1,7.45882352941177
0,1,1,1,11.3371428571429
2,2,0,0,23.0076923076923
2,1,1,1,20.5228571428571
1,3,2,0,25.437037037037
1,3,2,1,25.3527777777778
3,3,0,2,38.2666666666667
1,4,2,2,35.6891891891892
2,3,4,1,33.9351351351351
1,0,0,0,6.34
0,0,2,0,12.3
2,0,0,1,15.1628571428571
0,1,2,1,12.7558823529412
0,1,2,2,18.72
1,1,2,2,23.2611111111111
2,3,2,0,31.5296296296296
2,2,3,1,27.5472222222222
4,1,2,2,37.1567567567567
0,4,3,3,38.7
1,0,0,0,6.26
2,0,0,0,12.22
0,1,0,2,16.1085714285714
2,0,0,2,21.8323529411765
1,3,0,1,23.6823529411765
5,0,0,1,29.0055555555556
3,2,0,2,34.0166666666667
4,1,0,3,40.2621621621621
4,3,0,2,39.1904761904762
4,4,2,0,47.9033333333333
0,1,0,0,6.31363636363636
0,1,1,0,8.04090909090909
0,1,1,1,11.3657142857143
1,2,0,1,18.4833333333333
1,1,3,0,16.9346153846154
1,1,2,2,23.1638888888889
1,3,1,2,30.0694444444444
1,1,4,2,26.0305555555556
3,3,1,2,38.6973684210526
