#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,0,0,0,0,1,0,27.90833333
0,0,1,0,0,0,0,1,26.70704846
1,0,1,0,0,0,1,0,32.24409091
0,1,0,0,0,1,0,2,29.7277512
2,0,0,0,1,1,0,1,39.73581395
2,0,2,0,0,0,1,1,62.85627706
0,0,4,0,0,1,0,2,98.73659574
0,1,0,2,0,1,2,2,77.75418502
0,2,3,0,1,1,1,1,97.52307692
2,1,2,2,1,0,0,2,98.46657754
0,0,0,0,0,0,1,0,28.88181818
1,1,0,0,0,0,0,0,31.27464115
0,0,1,0,0,0,0,2,28.03870968
1,0,0,1,1,0,0,1,57.08403756
1,1,1,0,0,1,0,1,57.46454545
1,1,0,0,0,0,1,3,36.06834862
0,1,1,2,2,0,0,1,97.59680233
1,1,1,1,0,0,2,2,80.35683761
0,1,0,1,0,2,3,2,56.68245614
1,0,1,1,3,2,2,0,97.74188312
0,1,0,0,0,0,0,0,25.39857143
0,0,0,0,0,0,0,2,51.73333333
0,1,0,2,0,0,0,0,74.67361111
0,0,0,1,1,1,1,0,52.50896226
3,0,1,0,0,0,1,0,43.44520548
0,3,0,0,1,1,1,0,97.67043478
1,0,1,2,0,1,0,2,81.00131579
1,1,2,1,0,3,0,0,98.2048583
1,1,0,1,1,0,3,2,81.58974359
2,1,2,0,0,1,2,2,82.5276
0,0,0,1,0,0,0,0,25.44519231
2,0,0,0,0,0,0,0,50.9877551
0,0,0,0,2,0,1,0,51.98028846
1,0,1,1,1,0,0,0,80.80230415
1,1,2,0,0,0,1,0,81.38401826
0,0,0,2,2,0,0,2,98.98274336
0,2,0,2,1,0,0,2,97.9728223
0,2,1,1,0,2,1,1,97.07881356
1,1,1,1,1,2,1,1,98.0152
0,0,4,2,1,1,1,1,98.98888889
1,0,0,0,0,0,0,0,26.17446809
1,0,0,0,0,0,1,0,32.41458333
1,0,1,0,1,0,0,0,54.73063063
0,0,1,1,0,0,0,2,52.96203704
1,0,1,1,0,0,2,0,57.97096774
1,1,1,1,0,1,1,0,80.7246696
2,0,0,1,0,2,0,2,40.80133333
1,1,2,0,0,1,2,1,81.45948276
0,0,3,0,1,3,2,0,98.63446809
0,1,0,2,2,1,1,3,97.98745763
0,0,0,1,0,0,0,0,25.49170732
0,0,0,0,2,0,0,0,50.16066351
1,1,0,0,0,0,0,1,32.51753555
0,1,1,0,0,0,0,2,52.49483568
0,2,0,1,1,0,1,0,98.92162162
0,0,0,2,1,3,0,0,76.96891892
1,0,2,0,1,0,2,1,80.7489083
1,1,1,2,1,0,1,1,97.86943522
1,0,2,1,2,1,1,1,97.59869281
0,1,1,2,1,0,3,2,97.45714286
0,0,1,0,0,0,0,0,25.65317073
0,0,0,1,0,0,0,1,26.90048077
0,0,1,0,1,1,0,0,51.28047619
0,1,1,0,2,0,0,0,98.1109589
0,1,0,0,2,0,2,0,77
0,2,1,1,1,1,0,0,99.15949821
0,3,1,0,0,0,1,2,98.98521739
1,1,0,2,1,1,1,1,98.07591837
0,1,1,1,1,3,2,0,98.39535865
1,1,3,0,0,3,2,0,98.42788845
0,0,1,0,0,0,0,0,25.55592417
0,0,0,0,1,0,0,1,26.64112554
1,0,0,1,0,1,0,0,32.73397129
1,0,0,1,0,0,1,1,33.90904762
2,0,0,0,0,2,0,1,66.29807692
1,0,0,0,4,0,1,0,98.17966805
1,0,1,2,0,1,0,2,79.85423729
1,1,4,1,0,1,0,0,97.94860335
0,0,2,1,1,3,0,2,97.99159664
2,0,0,3,0,2,1,2,82.46144578
0,0,1,0,0,0,0,0,25.66376812
0,0,1,0,0,1,0,0,26.93719807
0,0,1,1,0,0,1,0,51.67190476
1,1,2,0,0,0,0,0,79.67272727
1,0,0,1,2,0,1,0,80.23243243
1,3,1,1,0,0,0,0,96.98148148
2,1,2,0,1,1,0,0,98.42709163
0,1,2,1,2,0,0,2,98.16320225
0,0,2,0,4,1,1,1,95.7401662
1,1,1,2,1,2,1,1,94.04756098
0,1,0,0,0,0,0,0,25.44223301
1,0,0,1,0,0,0,0,31.3076555
0,0,1,0,0,2,0,0,28.24741784
1,1,0,0,0,1,1,0,33.98046512
0,2,1,0,0,0,0,2,76.74449541
2,1,2,1,0,0,0,0,97.9796
1,2,0,1,0,2,1,0,81.21409692
2,0,2,2,0,0,1,1,90.45841924
0,0,1,2,2,2,1,1,93.88161994
