#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
1,0,0,0,0,0,0,0,18.59512195
0,1,1,0,0,0,0,0,34.10255102
0,0,2,0,0,1,0,0,34.85255102
0,1,0,0,2,0,0,1,51.43877551
0,1,0,0,3,1,0,0,68.0695
2,1,0,0,0,0,1,2,28.63969849
1,0,1,2,0,0,1,2,56.10735294
2,0,0,0,1,1,1,3,30.77745098
0,1,1,1,2,1,3,0,84.74688995
1,1,1,1,3,2,0,1,98.76396396
0,0,0,1,0,0,0,0,18
0,0,0,0,1,0,1,0,18.73128205
1,0,0,0,1,1,0,0,22.26564103
0,0,0,1,1,1,0,1,36.41089109
0,1,0,2,0,1,0,1,52.48888889
0,2,1,2,0,0,0,1,83.6721393
1,0,2,0,0,1,1,2,42.36831683
0,2,0,1,1,2,0,2,69.87815534
2,0,0,0,1,1,1,4,31.60289855
1,1,1,0,1,1,3,2,58.86948357
0,0,0,0,0,0,0,1,21.03333333
0,0,0,0,0,1,1,0,36.04615385
1,0,0,0,0,1,0,1,28.61860465
0,0,1,0,2,1,0,0,51.35808081
0,2,0,1,0,0,1,1,52.76683417
2,1,0,0,1,0,1,1,44.03939394
1,0,1,0,3,2,0,0,71.4368932
2,1,1,0,0,2,0,2,33.49211823
0,0,0,0,2,2,3,2,41.48640777
2,2,0,2,1,2,0,1,87.19324324
0,0,1,0,0,0,0,0,18.01487179
1,0,0,0,1,0,0,0,21.29441624
0,0,0,0,1,1,1,0,19.57806122
0,0,1,2,0,1,0,0,51.76616162
1,0,1,1,0,1,0,1,39.9372449
0,1,3,0,1,1,0,0,82.91545894
0,1,2,0,0,1,0,3,55.10945274
0,0,0,4,0,1,2,1,70.02184466
2,0,2,3,0,0,2,0,85.81160714
1,1,0,1,3,1,1,2,87.00601852
1,0,0,0,0,0,0,0,18.33571429
0,0,1,0,0,1,0,0,18.72461538
1,1,0,0,0,0,0,1,22.70260417
0,0,0,0,0,1,0,3,65.89285714
1,1,0,0,1,0,1,1,39.7160804
1,1,0,0,0,2,2,0,26.18383838
2,3,0,0,0,0,0,2,59.79158416
2,0,1,0,1,1,2,1,45.58137255
2,2,1,1,0,2,0,1,75.21428571
0,2,0,1,3,1,0,3,98.16986301
0,0,0,0,0,0,0,1,23.3
0,0,2,0,0,0,0,0,34.09387755
0,0,1,0,0,0,0,2,19.75154639
0,1,1,1,1,0,0,0,66.47487437
0,2,0,0,1,0,2,0,52.52512821
0,0,1,2,1,1,0,1,68.5840796
1,0,0,2,2,1,0,1,72.44068627
1,2,1,1,0,2,1,0,72.19371981
3,0,0,1,0,1,2,2,34.39082126
0,2,0,2,2,0,3,1,97.08280543
0,0,0,0,0,1,0,0,21.28333333
0,0,0,1,0,1,0,0,18.60510204
0,0,0,0,0,0,0,3,52.93846154
1,1,0,0,0,1,0,1,23.9755102
2,0,0,2,0,0,0,1,42.60845771
0,2,1,1,0,0,1,1,68.8453202
1,2,0,1,1,1,0,1,71.83203883
1,0,0,0,1,1,4,1,28.22821782
0,1,2,3,2,0,0,1,95.0976431
0,0,3,4,0,0,2,1,96.5953125
0,0,0,0,0,0,1,0,21.4
0,1,1,0,0,0,0,0,33.83045685
0,1,0,0,0,1,1,0,19.69310345
1,0,1,0,1,0,0,1,38.77525253
0,1,0,1,1,0,1,1,52.43163265
2,1,1,0,0,1,1,0,43.15369458
1,2,0,0,1,2,1,0,57.4840796
0,0,3,0,2,1,1,1,83.94354067
1,0,1,5,0,1,1,0,96.97309417
2,1,1,0,1,1,1,3,61.27211538
0,0,1,0,0,0,0,0,17.52923077
0,0,0,2,0,0,0,0,34.05927835
0,0,1,1,0,0,1,0,34.88622449
0,1,1,0,0,2,0,0,35.82182741
1,1,0,0,1,0,0,2,39.81624365
1,0,1,1,1,0,2,0,56.54619289
1,2,1,1,0,1,1,0,71.93663366
0,0,2,0,1,2,0,3,56.18855721
1,0,1,1,2,2,0,2,71.15509259
0,0,2,0,4,1,2,1,98.32196262
0,0,0,0,0,0,0,1,21.91666667
0,0,0,0,0,1,0,1,36.44615385
1,0,0,1,1,0,0,0,38.07552083
0,0,2,1,0,0,0,1,51.03015075
0,0,0,1,0,2,0,2,21.92871795
0,1,1,2,0,1,1,0,69.13517588
0,2,1,1,1,2,0,0,83.50776699
0,1,2,0,1,2,0,2,70.53251232
2,0,1,0,2,0,3,1,61.43186275
