#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,1,0,0,0,0,0,52.10824176
0,0,1,0,0,1,0,0,54.67315789
1,0,1,0,0,1,0,0,63.79897959
0,0,0,1,1,0,1,1,98.86280193
0,3,0,0,0,0,2,0,98.72556634
0,1,0,1,0,2,2,0,98.92488688
1,0,1,1,0,2,1,1,99.51481481
1,3,1,1,2,0,0,0,99.74287617
3,1,2,0,1,1,1,0,99.82653061
4,2,0,0,1,1,1,1,99.18106796
0,0,0,0,0,0,0,1,50.90833333
0,0,0,1,1,0,0,0,98.13350515
0,0,1,0,0,1,0,1,56.40942408
1,1,0,0,0,1,0,1,64.96714976
1,0,0,1,1,0,1,1,98.26034483
0,1,0,1,0,2,2,0,98.2199095
1,1,1,0,0,3,0,1,98.90120482
0,2,3,2,0,0,0,1,99.83019126
2,0,0,2,1,1,2,1,99.5157754
1,1,2,1,1,1,2,1,99.85509839
0,0,0,0,1,0,0,0,51
1,0,1,0,0,0,0,0,62.09210526
0,1,0,0,0,1,0,1,56.90364583
2,1,0,1,0,0,0,0,99.39915612
0,0,0,2,2,0,0,1,99.53815461
0,1,0,0,3,2,0,0,99.81459854
2,1,1,0,1,1,0,1,99.22674095
1,1,1,1,2,1,1,0,99.84825688
1,2,0,1,1,1,2,1,99.48913043
2,1,1,3,0,1,1,1,99.72322357
1,0,0,0,0,0,0,0,51.62195122
0,0,1,0,1,0,0,0,99.47089947
0,1,0,0,0,0,1,1,56.01709845
1,1,0,0,0,0,0,2,65.37729469
0,1,0,0,0,2,0,2,59.24711538
1,0,0,2,1,0,1,1,98.78162651
0,0,1,2,0,2,0,2,99.97012579
2,1,1,2,0,0,1,1,99.80411255
2,2,1,0,3,0,0,1,99.55629742
2,1,0,1,0,3,3,0,99.56901408
0,0,0,0,1,0,0,0,51.69572193
0,0,0,1,1,0,0,0,99.46542553
1,0,0,1,0,1,0,0,63.52806122
1,1,0,1,0,0,0,1,99.42522523
1,0,1,0,2,0,0,1,99.33506098
1,0,1,0,2,0,1,1,99.71577381
1,0,3,0,1,1,1,0,99.70319635
2,0,1,0,4,0,1,0,99.65462478
0,1,1,2,1,2,2,0,99.79739292
1,1,1,1,1,3,1,1,99.82980562
0,0,0,0,0,0,1,0,49.66666667
0,0,1,0,0,0,1,0,55.00319149
1,1,0,0,0,0,1,0,63.94030612
1,0,0,0,0,2,0,1,74.32105263
1,0,1,1,0,0,1,1,99.7527897
0,2,2,0,0,1,0,1,99.55558252
1,0,0,1,2,3,0,0,98.46131805
2,1,0,1,1,0,2,1,98.22412869
2,1,1,1,1,1,1,1,99.80529661
0,0,0,1,2,2,2,3,99.2189415
1,0,0,0,0,0,0,0,51.91904762
0,0,0,1,0,1,0,0,53.96927083
0,0,2,1,0,0,0,0,99.54727891
1,0,0,0,1,2,0,0,64.70339806
0,1,0,0,1,3,0,0,99.42206573
0,2,0,0,0,2,2,0,94.90489796
1,1,0,1,1,2,0,1,99.2628655
0,4,0,1,0,1,2,0,99.54350282
2,0,2,0,1,0,1,3,99.58885942
1,0,3,2,1,0,1,2,99.91666667
0,0,0,0,0,0,1,0,50.6
1,0,0,1,0,0,0,0,62.40670103
0,0,1,0,1,0,1,0,99.04129353
0,2,0,0,0,1,1,0,98.58894231
0,0,1,1,0,0,1,2,99.17395349
1,1,1,0,2,1,0,0,99.42587413
2,0,1,0,1,2,0,1,99.56461538
1,0,2,1,1,1,1,1,99.73900227
1,1,3,0,1,0,1,2,99.85559567
1,3,0,2,0,1,3,0,99.74107143
0,0,0,0,0,0,0,1,53.375
1,0,0,0,0,0,1,0,63.7893617
0,0,1,2,0,0,0,0,99.57104377
1,1,1,1,0,0,0,0,99.90599369
1,0,0,1,2,0,1,0,99.20267857
1,0,2,0,0,0,2,1,99.61638655
3,0,1,2,0,0,1,0,98.9936
1,0,2,1,0,2,1,1,98.08380682
1,2,3,1,1,0,0,1,99.85272021
3,1,3,0,1,0,1,1,99.8145
0,1,0,0,0,0,0,0,51.33031915
0,1,0,0,0,0,0,1,54.02659574
2,0,0,0,1,0,0,0,66.71050228
0,2,0,1,1,0,0,0,99.77265823
2,1,0,0,0,1,1,0,70.1004386
1,0,0,1,2,0,1,1,99.77861446
0,0,3,1,0,1,1,1,99.90613208
1,1,2,0,2,2,0,0,99.72290909
1,2,2,1,2,0,0,1,99.59296675
