#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,0,0,0,0,0,1,21.68461538
1,0,0,0,0,1,0,0,23.12380952
1,0,0,0,1,0,0,1,21.88341709
1,0,1,0,0,1,0,1,23.32331606
0,2,0,1,1,0,1,0,68.12216495
0,0,2,0,0,1,0,3,38.67846154
0,1,0,3,1,1,0,1,83.49653465
0,0,3,1,2,0,1,1,98.47894737
2,1,0,1,2,1,2,0,75.15582524
2,2,0,1,2,2,0,1,85.30588235
0,0,0,0,0,0,0,1,20.60769231
0,0,0,0,0,2,0,0,37.17692308
1,1,0,0,1,0,0,0,36.83383838
0,1,0,3,0,0,0,0,66.47333333
3,1,0,0,0,0,0,1,29.69642857
1,0,2,0,2,0,0,1,69.77794118
1,2,1,0,0,1,1,1,57.1305
0,2,1,2,0,0,1,2,82.27582938
1,1,2,0,3,0,0,2,96.31306306
0,2,1,1,2,1,0,3,97.26064815
0,0,0,0,0,0,0,1,20.80769231
1,0,0,0,1,0,0,0,21.56458333
1,0,0,1,0,0,1,0,22.21538462
1,1,0,1,0,1,0,0,38.31989796
0,2,0,0,2,0,1,0,68.15670103
0,0,0,1,2,0,2,1,53.55532995
1,3,0,0,0,2,1,0,58.36446701
0,0,4,1,1,0,0,2,98.07067308
0,0,2,1,3,2,1,0,98.3747619
2,2,2,1,0,3,0,0,88.10837209
0,0,1,0,0,0,0,0,17.67055838
0,0,0,0,0,0,1,1,36.46923077
1,0,1,0,0,0,0,1,22.0627551
0,1,0,1,1,0,0,1,51.12091837
1,1,1,1,1,0,0,0,70.59132653
0,1,3,1,1,0,0,0,98.28109453
0,0,3,0,2,1,0,1,83.38186275
0,0,1,0,2,0,4,1,55.744
1,3,1,0,3,0,0,1,95.19923077
2,1,0,1,1,1,1,3,61.39473684
0,0,0,0,0,0,0,1,20.48461538
0,2,0,0,0,0,0,0,34.02356021
0,1,1,0,1,0,0,0,50.29427083
0,1,0,1,1,0,1,0,51.21581633
0,1,1,2,1,0,0,0,83.04742268
1,0,0,0,3,0,0,2,56.06751269
0,1,1,1,1,1,0,2,70.12311558
0,0,1,1,2,2,2,0,68.87644231
0,1,1,2,2,1,1,1,96.11100917
1,1,3,1,2,1,1,0,97.99571984
0,0,0,0,0,1,0,0,22.025
1,1,0,0,0,0,0,0,21.4984456
0,0,1,1,0,0,1,0,34.95647668
2,0,0,0,0,0,2,0,44.92790698
0,0,0,0,0,0,4,1,84.37142857
1,2,0,0,1,0,0,2,56.28730964
0,0,1,1,1,2,1,1,54.327
1,0,0,4,0,1,1,1,72.55812808
1,0,1,0,1,3,2,1,43.70241546
3,0,1,0,1,2,0,3,48.99278846
1,0,0,0,0,0,0,0,18.24761905
0,1,0,0,0,1,0,0,19.03897436
0,0,2,1,0,0,0,0,49.94591837
0,0,0,1,0,0,0,3,20.9814433
0,0,2,0,2,0,0,1,68.13948718
1,1,1,2,0,1,0,0,70.50703518
1,1,1,2,0,1,0,1,71.62376238
2,0,0,1,1,0,3,1,46.11674877
2,0,0,2,1,1,2,1,60.80533981
1,1,1,0,2,4,0,1,71.09490741
0,1,0,0,0,0,0,0,17.84690722
1,0,0,0,0,1,0,0,23.10697674
1,0,0,1,0,1,0,0,22.24818653
2,1,0,0,0,0,0,1,25.95555556
2,1,0,0,1,1,0,0,42.73641026
0,1,1,1,1,1,1,0,66.83333333
1,0,2,2,0,1,0,1,71.28910891
0,1,2,1,1,1,1,1,82.93867925
0,0,0,1,5,0,1,2,97.29433962
0,0,2,1,2,2,1,2,84.89150943
0,0,0,1,0,0,0,0,17.48434343
0,0,0,1,0,1,0,0,18.43865979
0,1,0,0,0,0,1,1,19.71170732
0,0,2,0,1,0,1,0,51.3257732
1,0,0,2,0,1,1,0,39.80569948
0,1,2,1,0,1,1,0,69.69387755
1,2,0,0,0,1,0,3,41.96161616
1,1,1,0,1,0,0,4,58.14039409
3,1,2,1,0,0,2,0,76.50798122
2,1,2,1,1,1,0,2,87.84423963
0,0,0,0,1,0,0,0,17.43877551
0,0,0,0,2,0,0,0,34.25340314
1,0,0,0,0,1,0,1,28.11860465
0,0,0,1,1,1,0,1,36.52994924
0,0,1,0,0,1,2,1,21.91887755
0,1,1,2,0,1,0,1,69.63959391
1,1,0,3,1,0,0,1,86.44776119
2,0,1,0,0,3,0,2,31.31813725
0,1,0,2,1,3,1,1,70.33834951
