"#tk0","#tk1","#tk2","#tk3","#tk4","#tk5","#tk6","#tk7","cpu_usage"
0,0,0,0,0,0,0,1,7.6
0,0,1,0,0,1,0,0,8.05098039215686
0,0,0,2,0,0,1,0,14.104
0,1,1,0,0,1,0,1,14.874
1,1,0,1,1,1,0,0,22.1884615384615
1,0,0,0,0,1,1,3,16.2133333333333
1,2,1,0,1,0,1,1,29.2692307692308
0,4,1,1,2,0,0,0,48.9196428571429
0,1,3,0,1,1,0,3,33.8222222222222
1,1,2,0,1,1,2,2,27.4078125
0,0,1,0,0,0,0,0,7.5764705882353
0,1,0,1,0,0,0,0,14.1235294117647
1,1,1,0,0,0,0,0,15.776
0,0,0,1,1,2,0,0,14.4943396226415
1,1,0,2,0,0,0,1,22.1941176470588
0,0,0,1,1,1,1,2,15.8288461538462
1,2,1,0,0,0,1,2,23.7924528301887
0,1,2,2,3,0,0,0,49.2236363636364
2,3,0,1,0,0,1,2,30.9166666666667
0,1,1,2,3,1,2,0,45.58
0,0,1,0,0,0,0,0,7.56326530612245
1,0,0,1,0,0,0,0,9.55
1,0,0,0,0,1,0,1,10.96
1,0,0,1,1,0,0,1,16.4627450980392
0,1,1,0,2,0,0,1,26.4692307692308
1,0,0,2,1,1,0,1,23.1769230769231
0,1,1,1,0,0,1,3,22.2846153846154
1,1,0,0,0,2,3,1,13.125
2,3,0,0,1,2,1,0,31.4272727272727
1,2,0,1,3,1,1,1,41.4090909090909
0,0,0,0,0,1,0,0,7.025
0,1,0,0,0,0,0,1,7.91372549019608
0,0,0,1,1,0,0,1,14.178
1,1,0,1,0,0,1,0,16.243137254902
0,1,0,1,1,0,2,0,21.1480769230769
0,2,1,0,0,1,2,0,21.1788461538462
1,0,1,2,1,0,0,2,28.9471698113208
0,0,1,2,2,1,0,2,33.5245283018868
2,1,0,1,0,2,0,3,20.3254901960784
1,3,2,0,2,2,0,0,45.0120689655173
0,0,0,0,0,0,0,1,7.7
1,1,0,0,0,0,0,0,9.61632653061225
0,0,0,3,0,0,0,0,20.1941176470588
0,0,1,2,0,0,0,1,19.9384615384615
0,1,0,0,0,0,1,3,9.85
2,1,1,1,0,0,1,0,24.0038461538462
0,1,0,1,0,0,2,3,16.2596153846154
0,1,0,2,0,2,2,1,22.4596153846154
1,1,2,0,0,2,3,0,24.5166666666667
1,0,2,2,0,2,3,0,30.8537037037037
0,0,0,0,0,0,1,0,7.5
0,0,0,0,0,2,0,0,11.825
0,0,0,2,0,0,0,1,14.3019230769231
1,0,2,0,0,1,0,0,16.024
1,0,0,2,0,0,1,1,16.3307692307692
0,1,0,2,0,2,1,0,21.5269230769231
0,1,2,0,1,0,0,3,27.8384615384615
0,1,1,1,1,2,2,0,27.9592592592593
2,1,1,1,1,1,1,1,32.4264150943396
0,1,3,0,3,1,1,1,45.8527272727273
0,0,0,0,0,1,0,0,6.5
0,0,0,0,0,0,1,1,11.925
1,0,0,1,0,0,0,1,9.86274509803921
0,3,0,0,0,0,1,0,19.8111111111111
0,1,0,0,1,1,0,2,15.1096153846154
0,1,1,0,0,2,1,1,15.6941176470588
0,0,2,2,0,1,0,2,27.4830188679245
0,1,0,1,3,0,2,1,33.8867924528302
0,1,2,1,1,3,0,1,34.2259259259259
1,3,2,1,1,1,0,1,45.7333333333333
0,0,0,0,1,0,0,0,7.866
2,0,0,0,0,0,0,0,13.0625
0,1,1,0,0,0,1,0,14.721568627451
1,0,0,1,0,0,0,2,10.368
0,0,1,0,3,0,0,1,26.5941176470588
0,0,0,1,3,0,1,1,27.2076923076923
1,1,2,0,0,1,0,2,23.0461538461538
0,1,0,1,1,2,2,1,23.3313725490196
0,4,0,2,0,1,1,1,39.4290909090909
0,1,2,1,2,3,1,0,40.0722222222222
0,0,0,0,0,0,0,1,6.05
1,0,0,0,0,1,0,0,9.25333333333333
0,0,1,0,0,0,0,2,8.50612244897959
0,0,0,1,2,1,0,0,20.3711538461538
0,1,1,0,1,1,0,1,20.5882352941176
0,2,2,0,0,0,0,2,26.9903846153846
2,1,0,1,1,1,1,0,24.6865384615385
0,0,5,1,1,0,1,0,43.9472727272727
1,1,1,2,2,1,0,1,41.1472727272727
0,0,2,1,3,2,1,1,40.5111111111111
0,0,0,1,0,0,0,0,7.7265306122449
0,0,1,0,0,0,1,0,8.22941176470588
0,1,1,0,1,0,0,0,20.1288461538461
1,0,1,1,1,0,0,0,21.8865384615385
0,2,0,1,0,0,2,0,21.5078431372549
1,0,1,2,1,0,0,1,27.6666666666667
1,1,2,0,2,1,0,0,33.86
0,4,0,1,0,0,1,2,33.6867924528302
2,1,0,1,2,2,1,0,31.35
