#tk0,#tk1,#tk2,#tk3,cpu_usage
0,0,1,0,39.48712871
1,0,0,1,56.57333333
2,0,1,0,93.0366485
1,1,0,2,69.56056338
1,3,0,1,78.61634349
2,0,3,1,96.49129853
1,2,2,2,88.62453271
2,2,3,1,97.30129717
2,5,1,1,97.66713948
1,1,5,3,95.54502712
0,0,1,0,39.74819277
0,0,1,1,44.05657895
0,1,0,2,51.10508475
1,1,1,1,68.53472669
1,1,1,2,77.11057692
2,0,3,1,96.32222222
0,4,2,1,86.02795455
2,2,3,1,97.34493827
4,3,1,1,99.37153846
3,4,1,2,99.28579734
0,0,1,0,39.47608696
1,0,1,0,48.60565371
1,1,0,1,60.4467433
1,2,1,0,72.90144928
2,1,0,2,98.08983482
2,0,1,3,99.34240196
1,3,0,3,90.2599455
2,1,3,2,98.17897252
4,3,1,1,99.40403619
1,2,2,5,97.72906725
1,0,0,0,31.91794872
1,0,1,0,48.81563636
0,1,1,1,52.77026239
2,0,2,0,89.85485075
2,1,2,0,93.80624152
0,2,0,4,69.39734748
1,2,2,2,85.45866667
2,1,0,5,99.65037258
2,1,5,1,97.80863931
1,4,2,3,91.72433333
0,0,0,1,25.06538462
0,0,0,2,45.39478261
0,0,1,2,52.59405204
1,1,0,2,71.07837838
2,1,1,1,95.80583232
0,2,2,2,74.34282511
1,3,3,0,87.70933063
2,3,2,1,97.40468933
2,3,3,1,97.98730512
4,2,2,2,99.7461486
0,1,0,0,39.64952381
0,1,0,1,43.94822006
0,1,1,1,54.03828383
1,1,1,1,65.0509915
2,0,3,0,94.60463659
2,1,1,2,97.76639248
2,3,2,0,96.33449519
1,3,3,1,89.95962264
2,3,3,1,97.9041049
6,1,2,1,99.77927136
1,0,0,0,31.91206897
1,0,1,0,48.24234875
0,3,0,0,63.82360656
1,2,0,1,68.31501597
1,2,0,2,76.78769231
0,1,2,3,77.61489971
0,2,1,4,83.85258621
1,5,1,1,92.33984064
2,3,1,3,98.9152019
5,3,0,2,99.78815132
0,1,0,0,39.39967742
1,1,0,0,49.14160584
0,0,1,2,52.86944444
2,2,0,0,91.85475819
1,2,0,2,78.73244147
1,0,3,2,86.17891738
1,3,1,2,84.91154684
1,3,2,2,91.60167364
2,2,1,4,99.64641676
1,1,3,5,98.22142857
0,1,0,0,39.31052632
0,0,1,1,43.34066667
0,0,1,2,52.93781818
0,0,4,0,66.14292343
1,3,1,0,76.32114943
2,2,2,0,95.54414063
2,2,2,1,97.38585746
2,3,1,2,98.17494062
3,3,1,2,99.16424189
4,1,4,1,99.43705722
0,0,0,1,24.76635514
1,1,0,0,49.25697674
0,0,2,1,54.28106312
1,1,1,1,69.20927152
2,1,2,0,94.65024876
2,0,1,3,99.56715232
1,3,1,2,86.26008772
2,2,2,2,98.27463524
2,3,2,2,97.885554
