#tk0,#tk1,#tk2,#tk3,cpu_usage
0,0,0,1,25.59708738
0,0,2,0,49.5804428
0,2,1,0,64.29363057
2,1,1,0,92.19558824
1,1,1,2,78.4258567
1,3,1,1,80.68801743
2,2,2,1,96.86279357
0,2,4,2,86.75123457
4,3,1,1,99.41881868
2,5,3,0,97.42176063
0,0,0,1,24.65092593
0,0,1,1,43.10069204
1,2,0,0,60.8425
2,1,1,0,93.27300131
3,1,1,0,96.39180488
3,2,0,1,98.28991437
1,0,3,3,88.5625641
6,1,1,0,99.80240055
3,1,3,2,99.26326707
2,3,3,2,98.4
0,0,0,1,25.44528302
2,0,0,0,91.50026385
0,1,0,2,53.08321168
1,2,1,0,71.48861789
1,1,1,2,76.35092025
1,2,1,2,84.25522788
1,0,3,3,89.88449612
3,2,0,3,99.79936823
1,2,5,1,92.38414239
4,1,1,4,99.85170257
0,0,1,0,39.67459283
0,0,0,2,46.58761062
0,2,1,0,64.17694805
2,2,0,0,92.37236641
1,1,2,1,80.95184136
0,2,2,2,77.8662037
1,4,2,0,87.96058252
2,3,1,2,98.36469248
0,2,5,2,87.23721311
4,1,3,2,99.83951389
1,0,0,0,32.68086957
0,0,2,0,49.47083333
2,0,1,0,92.81971631
1,2,0,1,67.44325843
3,1,1,0,96.55192498
2,1,2,1,96.8164
1,3,2,1,87.52765531
2,4,2,0,96.93656915
0,2,3,4,86.86375969
5,1,3,1,99.73129825
1,0,0,0,33.08053097
0,0,0,2,46.00175439
0,2,1,0,63.70930233
0,1,3,0,67.18288288
1,2,0,2,76.30470219
3,1,0,2,99.29597701
2,1,3,1,97.13333333
2,3,2,1,97.43678815
1,3,0,5,96.48765743
2,4,4,0,97.40839779
0,0,0,1,25.02523364
0,0,0,2,46.98608696
1,0,1,1,61.82835249
1,1,1,1,70.83238095
0,3,0,2,72.63920455
2,0,2,2,97.65941101
2,3,2,0,96.55204327
2,2,1,3,98.75885167
3,1,3,2,99.31019504
1,7,1,1,91.9428165
1,0,0,0,32.99043478
1,1,0,0,49.81784387
1,1,0,1,62.87215686
1,1,1,1,70.17032258
1,2,1,1,79.71448468
0,1,1,4,73.84741641
2,4,1,0,96.40782609
3,2,2,1,98.58441065
4,1,3,1,99.42076923
2,0,5,3,99.06723769
0,1,0,0,39.96835443
0,0,2,0,49.56222222
1,1,0,1,62.28444444
2,0,1,1,94.54836735
1,0,2,2,78.33892405
0,1,4,1,78.02816901
1,1,5,0,89.27883495
4,1,1,2,99.78560993
3,3,1,2,99.25426561
2,4,2,2,98.56298774
1,0,0,0,32.72521739
0,0,2,0,50.15633803
1,1,1,0,61.82683706
1,1,0,2,75.02419355
1,1,2,1,78.69833795
0,3,1,2,75.73922414
1,3,1,2,88.60645161
1,2,1,4,90.96456311
1,1,2,5,94.275
