#tk0,#tk1,#tk2,#tk3,cpu_usage
1,0,0,0,22.4803571428571
0,0,0,2,25.2352941176471
1,1,0,1,27.3611111111111
0,1,3,0,48.8941176470588
0,1,1,3,61.3411764705882
2,0,3,1,54.4287878787879
1,2,4,0,44.0901639344262
2,2,3,1,57.9415384615385
3,3,0,3,70.372972972973
2,2,1,5,61.1212121212121
0,1,0,0,12.92
1,1,0,0,23.7574074074074
1,1,0,1,27.5222222222222
1,0,3,0,31.0944444444444
2,1,2,0,49.0015873015873
1,2,1,2,38.9661016949153
1,1,3,2,42.2142857142857
1,2,4,1,46.5135593220339
2,1,4,2,60.1893939393939
2,4,2,2,62.0720588235294
0,0,0,1,12.7
0,1,1,0,25.1470588235294
1,1,0,1,27.4425925925926
1,1,1,1,31.2685185185185
2,0,3,0,47.1571428571429
0,4,1,1,72.6666666666667
2,2,0,3,54.4903225806451
3,1,3,1,69.5301369863014
0,4,2,3,89.5826086956522
2,5,0,3,61.4202898550725
0,0,0,1,12.9
0,1,0,1,25.175
0,2,1,0,37.38125
1,1,2,0,30.5964285714286
2,1,1,1,48.9015873015873
4,1,1,0,78.4543689320388
1,0,2,4,44.2435483870968
2,2,3,1,59.4014285714286
3,1,1,4,68.9453333333333
1,3,5,1,51.0898305084746
0,1,0,0,13.275
2,0,0,0,39.4322580645161
1,0,2,0,27.6444444444444
1,0,2,1,32.0254237288136
2,0,0,3,50.4823529411765
2,2,0,2,51.9577464788732
3,3,1,0,64.8361111111111
2,3,2,1,59.9230769230769
2,2,1,4,59.7823529411765
2,2,3,3,62.2761194029851
0,1,0,0,13
2,0,0,0,41.1630769230769
1,0,1,1,28.151724137931
1,0,3,0,31.0418181818182
1,0,4,0,36.1736842105263
1,2,2,1,37.9847457627119
2,3,1,1,55.8516129032258
0,4,2,2,99.0411764705882
2,1,2,4,60.7830769230769
0,1,3,6,92.0521739130435
1,0,0,0,20.2314814814815
1,0,1,0,23.7636363636364
0,1,0,2,37.0764705882353
4,0,0,0,65.9230769230769
0,2,3,0,60.7277777777778
3,0,3,0,62.4902777777778
1,1,2,3,42.3910714285714
1,1,5,1,47.6754098360656
2,3,1,3,60.2115942028986
1,4,1,4,50.6295081967213
1,0,0,0,20.3018518518518
0,1,1,0,25.16875
1,0,2,0,27.262962962963
1,3,0,0,30.9727272727273
0,1,3,1,60.7176470588235
4,0,1,1,70.4890410958904
1,0,2,4,42.6163636363636
1,1,5,1,47.3542372881356
4,1,3,1,81.1376237623763
4,3,3,0,79.0046511627907
1,0,0,0,21.6636363636364
0,1,0,1,25.0764705882353
1,0,1,1,27.5719298245614
0,0,2,2,50.0352941176471
2,1,0,2,47.7984615384615
0,3,2,1,73.4705882352941
2,2,2,1,55.003125
0,3,3,2,97.1722222222222
4,2,0,3,77.5075
3,2,4,1,70.9
1,0,0,0,21.1444444444444
0,0,0,2,25.05625
0,1,2,0,37.05625
2,0,1,1,44.1616666666667
0,1,1,3,60.5944444444445
0,1,1,4,73.2222222222222
1,3,0,3,43.2063492063492
0,2,4,2,87.9809523809524
4,1,2,2,76.3488095238095
