"#tk0","#tk1","#tk2","#tk3","cpu_usage"
0,0,1,0,51.30625
0,0,0,2,63.5
1,0,1,1,88.3431952662722
0,2,1,1,83.5257692307692
1,4,0,0,93.6019607843138
1,1,2,2,97.4980456026059
2,1,1,3,99.7780244173141
1,2,2,3,99.4343007915567
2,3,1,3,99.8257731958763
1,4,4,1,98.7858096828045
1,0,0,0,43.2111111111111
0,1,1,0,68.7824175824176
1,2,0,0,84.6951690821256
0,1,2,1,81.8682310469315
1,1,1,2,96.9588235294118
3,2,0,1,99.7452781371281
2,0,5,0,98.1535714285715
3,1,2,2,99.8499116607774
2,2,2,3,99.8722627737226
2,3,3,2,99.8067653276955
0,1,0,0,50.6870503597123
0,1,1,0,69.5593406593407
0,1,1,1,75.1913875598086
1,2,0,1,92.6400921658987
2,1,2,0,97.975350140056
2,0,2,2,99.4917431192661
0,2,4,1,92.2809302325581
4,2,1,1,99.840346907994
3,2,0,4,99.8131367292225
1,4,2,3,99.4923379174852
1,0,0,0,42.2156626506024
0,1,0,1,59.3368421052631
0,1,1,1,75.6918660287082
1,0,0,3,98.5545454545455
2,1,0,2,99.8696202531646
4,1,1,0,99.8190355329949
2,2,2,1,99.3251059322034
2,0,3,3,99.8291709314227
3,4,0,2,99.8223273415326
4,3,1,2,99.8750586395622
0,0,0,1,36.1152777777778
0,2,0,0,69.7861271676301
1,1,1,0,83.922009569378
0,0,2,2,83.2333333333333
0,2,2,1,88.4272727272728
0,2,1,3,93.8809688581315
1,4,0,2,98.0535612535612
1,2,5,0,97.701237113402
2,4,2,1,99.4883742911153
3,4,2,1,99.7874113475177
0,0,0,1,36.8067567567567
2,0,0,0,93.7390196078431
0,0,0,3,81.947619047619
1,2,1,0,90.2026615969582
2,1,1,1,97.9084745762712
1,1,2,2,97.6363924050633
2,2,0,3,99.396694214876
3,1,2,2,99.8354982206406
3,3,1,2,99.8421495327103
3,2,3,2,99.8570281124498
0,0,0,1,36.4534246575342
1,0,1,0,70.7358024691358
0,0,1,2,78.6493589743589
2,0,0,2,99.7460451977401
1,3,1,0,94.0658227848101
0,2,3,1,89.8137362637363
2,0,3,2,99.4577215189873
0,1,5,2,95.994575471698
2,4,0,3,99.7568627450981
4,1,3,2,99.834503713707
0,1,0,0,50.7054054054054
0,1,1,0,69.1844919786097
2,0,0,1,97.9330275229358
0,1,2,1,82.2201492537314
1,1,1,2,96.8187755102041
2,1,1,2,99.8435729847494
2,3,1,1,99.19631043257
3,2,2,1,99.7862827225131
1,3,1,4,99.5507317073171
5,1,1,3,99.8534482758621
1,0,0,0,42.9012195121951
0,0,1,1,58.4319277108433
0,2,1,0,74.8667896678966
0,0,2,2,84.6856481481482
2,0,1,2,99.8091254752852
2,0,1,3,99.8032296650718
3,2,0,2,99.7849256900212
3,1,4,0,99.4270175438597
4,0,3,2,99.9227561837456
3,3,3,1,99.7427880741337
1,0,0,0,42.6716049382716
0,0,1,1,58.9682080924855
0,1,0,2,76.4626436781609
1,0,1,2,95.4320224719101
0,2,0,3,95.3027777777778
2,1,2,1,98.9841891891892
2,1,1,3,99.8587392550143
2,3,1,2,99.717497456765
3,2,2,2,99.794799270073
