"#tk0","#tk1","#tk2","#tk3","cpu_usage"
0,1,0,0,60.0481481481481
1,0,0,1,29.3386363636364
0,1,1,1,91.1202127659574
0,0,1,3,83.2347826086956
1,0,2,2,92.8966666666666
2,1,1,2,95.2637426900585
1,2,3,1,97.1879668049793
2,4,1,1,97.6703846153846
1,3,2,3,97.5110726643599
2,3,1,4,98.1283154121864
0,0,1,0,57.7
1,0,1,0,63.0716981132076
0,0,2,1,91.2575757575757
1,1,1,1,93.56
2,2,1,0,94.6844311377246
2,3,0,1,95.8268817204301
3,3,1,0,97.1517699115044
3,1,3,1,97.1621212121212
0,2,4,3,97.9880398671097
2,1,5,2,98.3586626139818
0,0,0,1,17.55
0,0,1,1,58.3160714285714
0,2,0,1,89.4802083333333
0,1,2,1,93.3046979865772
3,0,1,1,91.2402173913043
1,2,0,3,95.2886075949367
3,2,1,1,96.3494845360825
2,4,1,1,97.4481751824818
3,2,2,2,97.5576208178439
0,3,5,2,98.4033707865169
0,0,0,1,18.0666666666667
0,0,2,0,87.4826666666666
0,1,0,2,67.1931034482759
1,2,1,0,94.1993377483444
2,1,1,1,93.802205882353
3,1,1,1,95.623602484472
0,4,3,0,97.3121673003803
3,3,0,2,96.7484848484849
3,1,2,3,97.6726530612245
3,1,5,1,98.46996996997
1,0,0,0,14.2317073170732
1,0,1,0,59.15
0,0,3,0,91.7811475409836
0,1,2,1,94.2152777777778
1,1,0,3,91.3147727272727
1,2,1,2,95.5602094240838
0,3,3,1,97.0548
1,2,4,1,97.3713725490196
4,2,1,2,97.8377118644068
1,5,0,4,97.9672185430464
0,0,0,1,17.925
1,0,0,1,29.0555555555556
2,0,0,1,41.2196078431373
1,1,1,1,92.978125
2,1,2,0,95.2739644970414
3,1,2,0,96.2668367346939
4,1,2,0,96.5273195876288
3,0,3,2,96.6054794520548
4,2,1,2,97.8042635658915
3,1,4,2,98.252427184466
0,1,0,0,58.536
1,1,0,0,56.1086206896552
2,1,0,0,76.8147540983607
1,1,1,1,92.8952
0,2,1,2,94.9242424242424
1,2,3,0,96.36
2,2,2,1,97.0295454545455
2,3,1,2,97.3735930735931
2,4,1,2,98.0521035598706
3,3,3,1,98.3003021148036
0,0,0,1,17.725
0,1,1,0,86.5766233766234
2,0,0,1,40.2019607843137
3,0,1,0,84.3771428571429
1,3,1,0,95.474011299435
2,0,3,1,95.5622222222223
3,1,2,1,96.9974468085107
2,0,3,3,96.9981308411215
2,2,3,2,97.6660777385159
3,3,1,3,97.8322222222223
0,0,1,0,60.0884615384615
1,0,1,0,59.8
1,1,1,0,90.9442307692308
0,1,1,2,93.381746031746
1,2,2,0,95.7243093922652
1,2,3,0,96.212389380531
3,3,1,0,96.7841628959276
2,3,2,1,96.7923954372624
2,2,4,1,97.7687919463088
2,2,2,4,97.9945454545455
1,0,0,0,13.8309523809524
1,0,0,1,28.4636363636364
0,3,0,0,93.2341463414634
1,1,2,0,94.3506666666667
1,1,3,0,95.4505813953488
1,4,0,1,95.8881188118812
2,2,3,0,97.0426160337553
3,3,2,0,97.4
2,2,1,4,97.8176211453745
