#tk0,#tk1,#tk2,#tk3,cpu_usage
0,0,0,1,35.41
1,0,0,1,62.9263157894737
0,2,1,0,96.0235772357724
2,0,1,1,96.3601851851852
3,1,1,0,97.2331081081081
1,3,0,2,98.5560975609756
3,0,2,2,99.9419811320755
3,1,2,2,99.8891891891892
3,1,4,1,99.9213017751479
1,1,3,5,99.9293150684931
0,0,1,0,70.6767441860465
0,0,1,1,71.3773333333333
1,0,1,1,86.2284090909091
1,1,2,0,91.0876623376624
1,1,1,2,97.5322147651007
1,1,2,2,98.073786407767
1,1,3,2,98.4528
2,1,1,4,99.9434782608696
4,2,1,2,99.9770642201835
2,2,1,5,99.9132492113565
1,0,0,0,34.5897959183673
0,0,1,1,71.4922077922078
0,0,0,3,81.2354838709677
3,1,0,0,96.4532710280374
1,0,2,2,97.2040816326531
0,1,5,0,99.7732342007435
2,1,1,3,99.9601063829787
2,2,3,1,98.8492211838006
3,2,2,2,99.9034700315458
0,8,2,0,99.8024048096193
1,0,0,0,34.5020833333333
0,1,0,1,72.0373333333334
0,0,1,2,85.7898876404494
1,1,0,2,96.412037037037
2,1,0,2,99.8327868852459
0,2,2,2,96.824279835391
0,4,2,1,96.6012383900929
3,1,2,2,99.8674329501916
4,2,1,2,99.8434482758621
3,3,2,2,99.8926229508197
0,1,0,0,70.1609756097561
0,1,0,1,70.6618421052632
1,0,0,2,83.2415384615385
0,1,1,2,93.1312
3,1,0,1,99.8007352941177
0,2,2,2,96.1078189300412
3,0,2,2,99.8598086124402
4,3,1,0,99.8003759398496
2,1,3,3,99.8745819397993
2,3,4,1,99.0033980582524
0,1,0,0,71.1209302325581
0,1,1,0,88.5564102564102
1,0,2,0,83.4315315315315
2,0,0,2,99.2835616438356
3,0,0,2,98.825
1,4,1,0,94.1257462686567
4,2,0,1,99.9167441860465
0,3,1,4,99.5943661971831
2,0,5,2,99.8714285714286
3,3,3,1,99.9096103896104
0,0,1,0,70.4186046511628
2,0,0,0,61.9472727272727
0,1,1,1,83.7231481481482
1,1,0,2,96.3289719626168
1,1,0,3,99.7933884297521
1,2,1,2,98.025
2,1,3,1,98.6196078431373
2,1,2,3,99.9102362204724
2,2,4,1,99.0316489361702
4,3,1,2,99.9067226890756
1,0,0,0,34.50625
1,1,0,0,73.0219178082192
0,1,2,0,96.0264462809917
2,1,1,0,92.5781512605042
1,1,2,1,95.4475
2,1,0,3,99.9496644295302
3,2,1,1,99.8991228070176
3,2,1,2,99.8358267716536
2,3,2,2,99.933234421365
2,4,4,0,98.3333333333333
0,1,0,0,70.2441860465116
1,0,1,0,70.6424657534247
1,1,1,0,84.8852173913043
1,1,0,2,95.9735294117647
1,1,1,2,96.9360544217687
1,2,1,2,98.1218446601942
0,2,4,1,96.5990384615385
2,2,2,2,99.8490774907749
2,4,2,1,98.9295039164491
3,2,2,3,99.9076246334311
0,0,1,0,82.1511627906977
0,1,0,1,83.4532467532468
2,1,0,0,94.9161290322581
0,1,3,0,99.4832369942197
1,1,2,1,98.0937823834197
0,3,1,2,98.1578260869565
2,1,3,1,99.7064516129032
3,3,1,1,99.8928082191781
4,3,0,2,99.9376811594203
