#tk0,#tk1,#tk2,#tk3,cpu_usage
0,0,1,0,33.80542636
0,0,1,1,48.85394737
0,1,1,1,53.92869955
1,2,1,0,63.29869281
0,2,2,1,62.07613636
1,2,3,0,63.41686183
1,4,2,0,63.62093458
2,3,2,1,66.2285828
4,1,3,1,66.55034294
5,1,3,1,66.54905199
0,0,1,0,33.45503876
1,0,0,1,45.39248555
1,1,1,0,59.18461538
1,1,1,1,64.19528986
0,1,4,0,58.48296837
1,3,1,1,64.25038168
1,4,2,0,63.37623762
2,2,2,2,66.44718574
2,3,1,3,66.39659969
3,3,4,0,66.17526596
0,0,1,0,33.1352459
1,0,1,0,50.57251462
1,1,1,0,59.2396
3,1,0,0,66.50092497
2,1,0,2,66.3087346
0,2,0,4,64.41388102
2,4,1,0,65.39027027
5,0,1,2,66.53926293
1,2,3,3,66.19842105
4,4,1,1,66.56134085
0,0,0,1,23.48225806
0,1,0,1,48.386
0,2,1,0,51.90516605
2,1,1,0,65.89464068
1,3,0,1,63.37033898
2,2,2,0,64.82592593
3,1,0,3,66.47116431
2,2,2,2,66.42138009
1,3,2,3,66.33840708
2,1,4,3,66.53014537
1,0,0,0,26.01879195
1,1,0,0,50.51988304
2,0,0,1,61.08607955
0,1,1,2,61.68267717
0,3,1,1,62.09476744
0,3,1,2,64.10792839
5,0,2,0,66.46166282
4,1,1,2,66.59747212
4,1,1,3,66.5618137
1,3,2,4,66.32776935
0,0,0,1,23.27716535
1,0,0,1,45.10693642
1,1,0,1,60.11515152
1,1,2,0,63.5971246
1,1,1,2,64.59151515
2,0,1,3,65.93763214
0,1,3,3,65.39749431
0,4,2,2,64.63643123
3,3,2,1,66.46365741
2,1,5,2,66.4829249
1,0,0,0,26.14304636
0,1,1,0,45.68457711
0,1,1,1,54.56726457
2,2,0,0,65.725125
1,0,0,4,66.07328767
2,2,2,0,64.93169985
1,0,4,2,65.69213483
1,3,2,2,65.67911025
3,3,2,1,66.56042741
0,3,3,4,66.13472868
0,1,0,0,33.50327869
0,0,2,0,45.45244444
1,0,0,2,56.66836735
2,0,2,0,65.78783217
1,0,1,3,65.95695793
2,1,1,2,65.61101322
4,1,2,0,66.53709116
1,2,2,3,66.1465587
2,1,2,4,66.50556117
2,4,1,3,66.5348855
0,0,1,0,33.43700787
1,1,0,0,50.748
0,0,3,0,51.93381818
1,2,1,0,62.84419355
2,2,1,0,65.16514806
2,1,2,1,66.19792961
2,2,2,1,65.56598513
1,2,2,3,66.27821782
2,2,2,3,66.36426332
0,6,2,2,65.03769339
0,1,0,0,33.04033613
0,1,0,1,48.56753247
2,0,0,1,64.07400531
0,1,0,3,63.73593074
2,1,1,1,65.91764706
1,3,2,0,64.00527523
2,2,2,1,66.10516129
0,4,1,3,65.44412331
1,3,3,2,65.97414634
