#tk0,#tk1,#tk2,#tk3,cpu_usage
0,1,0,0,33.22189055
0,2,0,0,49.77491289
1,1,0,1,60.31589958
1,0,2,1,65.40828571
0,3,1,1,73.34057971
0,2,2,2,76.92345133
2,3,0,2,97.92129964
2,1,4,1,97.45734767
2,3,2,2,98.27725714
2,4,2,2,98.58884462
1,0,0,0,32.1982906
0,1,1,0,50.2375
1,1,0,1,63.23982301
2,0,1,1,95.63124147
2,0,1,2,97.81847247
2,1,0,3,99.24641873
0,3,3,1,84.82110874
2,1,2,3,98.90970414
4,2,1,2,99.8043686
3,3,2,2,99.26058269
0,0,1,0,33.5039801
0,1,0,1,40.46724891
1,0,1,1,63.55580357
0,0,3,1,66.95882353
2,0,0,3,96.74166667
2,2,1,1,96.47950481
2,1,1,3,98.34535604
2,5,1,0,96.92375271
0,5,1,3,89.34827586
3,1,3,3,99.72461407
1,0,0,0,33.00756303
1,0,1,0,47.82767857
0,1,1,1,53.89966555
1,2,0,1,66.23381924
2,1,0,2,98.43653586
1,2,2,1,86.31479714
0,2,1,4,80.24903846
2,1,2,3,98.83592881
3,1,2,3,99.75792254
4,2,1,3,99.78954031
1,0,0,0,32.66410256
0,0,0,2,46.33931624
1,1,1,0,60.88552189
1,1,1,1,69.86955128
2,1,1,1,95.4381016
1,4,1,0,82.25438596
0,3,0,4,81.98832891
3,3,2,0,98.13527875
2,6,1,0,96.79585731
5,2,2,1,99.78457848
0,0,1,0,33.36179245
2,0,0,0,87.9739212
1,1,1,0,60.91764706
2,0,2,0,92.69292786
3,1,1,0,96.39263566
2,1,2,1,96.7272956
2,1,3,1,97.04822785
2,1,2,3,98.90153483
4,0,2,3,99.77436975
1,4,2,3,95.72424242
0,1,0,0,33.04759615
0,1,0,1,39.71244635
1,1,1,0,60.80890411
0,2,2,0,67.77102804
2,1,1,1,95.20915301
1,1,2,2,85.08954424
1,3,2,1,87.6389002
1,3,1,3,92.77551487
3,3,1,2,99.1983871
3,1,3,3,99.68478992
0,1,0,0,32.87735849
1,1,0,0,45.61493776
0,2,0,1,54.66933333
3,0,0,1,96.84281407
1,2,1,1,79.42679558
2,2,2,0,94.99757143
3,3,0,1,98.51153846
0,2,3,3,85.36832669
0,3,3,3,90.01787819
3,2,2,3,99.6941723
0,0,1,0,33.10248756
0,0,1,1,39.8840708
1,0,1,1,63.23549784
1,0,3,0,70.57855228
2,2,0,1,95.37392473
1,1,2,2,84.23224044
0,3,1,3,79.7039823
3,1,3,1,98.56010979
5,1,1,2,99.78908819
1,3,2,4,95.67671756
0,0,1,0,33.49033816
0,0,0,2,45.71810345
2,0,1,0,92.35039002
0,1,1,2,60.2829653
1,1,2,1,76.54757033
4,0,0,2,99.7546131
0,2,2,3,79.33733333
1,3,1,3,88.69117647
2,1,1,5,99.66623517
