"#tk0","#tk1","#tk2","#tk3","cpu_usage"
0,0,0,1,21.25
1,0,0,1,36.8
0,1,1,1,69.2036144578313
2,0,1,1,88.9568965517242
1,1,3,0,84.5955128205128
1,1,1,3,92.7748387096774
4,0,3,0,93.7441489361702
0,5,2,1,92.7991189427313
2,3,3,1,96.1954887218045
1,4,3,2,95.4909747292419
0,0,0,1,21.1116279069767
1,0,1,0,61.1149253731343
0,0,2,1,70.08
1,1,0,2,89.2809917355372
3,1,0,1,91.4953333333333
1,4,0,1,91.9423913043478
2,3,1,1,91.7568306010929
3,0,2,3,98.0881720430108
3,5,0,1,97.3861818181818
5,3,1,1,98.5603773584906
0,0,0,1,21.5761904761905
0,1,1,0,79.7566037735849
0,2,0,1,70.893023255814
1,1,0,2,88.8784482758621
2,0,1,2,96.0754966887417
2,0,2,2,90.382119205298
3,1,1,2,98.78625
2,4,2,0,92.9522935779817
2,4,2,1,95.4123456790124
4,3,2,1,98.4393333333333
1,0,0,0,16.2073170731707
1,0,0,1,36.9717391304348
1,0,2,0,68.210843373494
1,0,2,1,80.7509259259259
0,1,1,3,85.2564102564102
1,1,2,2,94.2933333333333
0,3,1,3,93.4708542713568
2,2,2,2,95.0825870646766
0,2,3,4,96.5875
3,3,2,2,97.3792592592593
0,1,0,0,63.309375
0,1,0,1,60.5102941176471
0,1,1,1,72.0563218390805
1,1,1,1,81.8598130841122
2,2,1,0,86.3859154929578
1,3,2,0,87.8335051546392
0,2,4,1,91.5150234741784
1,2,2,3,94.0786458333334
3,3,2,1,96.2854838709677
2,4,1,3,97.583038869258
1,0,0,0,16.009756097561
0,0,2,0,79.9403846153846
1,0,1,1,77.9795454545455
3,0,1,0,87.5601851851851
1,2,1,1,89.1234899328859
3,1,1,1,93.974213836478
2,2,0,3,98.303829787234
1,1,1,5,98.9834080717489
3,1,4,1,96.7581967213115
3,3,4,0,95.468100358423
1,0,0,0,16.1292682926829
1,0,0,1,36.263829787234
2,0,1,0,74.1168674698795
0,0,1,3,88.5241379310345
2,1,0,2,91.212925170068
1,2,2,1,89.7639534883721
1,4,2,0,89.8432432432433
1,4,1,2,94.5755656108597
0,2,5,2,94.6768
5,2,1,2,99.325641025641
0,1,0,0,62.5625
2,0,0,0,36.1133333333333
1,1,1,0,65.709756097561
2,0,0,2,64.4296296296296
2,0,2,1,87.5620437956204
1,1,3,1,89.4195266272189
4,2,1,0,92.9906976744186
2,1,2,3,95.1696808510639
2,2,3,2,96.350612244898
4,3,1,2,99.4043010752688
0,0,1,0,61.6225806451613
1,0,0,1,36.4847826086957
2,1,0,0,81.3373626373626
1,2,1,0,78.2428571428572
3,0,1,1,91.753642384106
1,1,3,1,90.6744318181818
1,3,0,3,93.3084415584416
2,0,0,6,98.547311827957
3,2,1,3,97.5259803921569
0,4,4,2,95.5054982817869
0,1,0,0,62.73125
0,1,1,0,79.036
1,1,0,1,77.4593023255814
0,1,2,1,78.2824074074074
0,3,1,1,87.1625850340136
1,1,1,3,91.8121621621622
1,2,4,0,90.1159624413145
3,2,0,3,97.4653266331658
2,2,3,2,96.0751072961374
