#tk0,#tk1,#tk2,#tk3,cpu_usage
0,1,0,0,74.64431818
1,1,0,0,95.6962963
0,2,0,1,93.96161369
0,0,1,3,99.37974684
2,0,2,1,99.75805921
4,1,0,1,99.7577431
1,2,3,1,99.67512243
3,3,1,1,99.76255969
2,3,2,2,99.85943709
2,5,2,1,99.84588323
0,0,0,1,62.42920354
1,0,0,1,98.95
0,2,0,1,95.69731183
1,2,0,1,99.37023555
1,1,2,1,99.57300319
3,0,1,2,99.72198473
3,1,0,3,99.81180745
1,2,3,2,99.77739053
3,3,2,1,99.92620087
1,1,4,4,99.83866775
1,0,0,0,66.6875
2,0,0,0,99.78730435
1,0,0,2,99.42310606
1,2,0,1,99.4422658
1,1,1,2,99.61495495
0,2,2,2,99.48759894
2,0,2,3,99.85660949
4,1,0,3,99.81361738
3,1,3,2,99.8767358
6,1,1,2,99.87965723
0,0,1,0,74.57964072
1,0,0,1,98.84482759
0,1,1,1,96.84617486
1,0,2,1,99.64129464
2,1,2,0,99.51868132
3,1,2,0,99.78674699
3,1,0,3,99.75449664
3,2,1,2,99.87041742
3,1,3,2,99.93633126
1,5,1,3,99.8274584
0,1,0,0,73.751875
1,0,1,0,98.74075829
1,1,0,1,99.5878125
2,0,1,1,99.62505543
0,4,1,0,95.18267327
2,1,2,1,99.78346457
2,1,2,2,99.81229885
2,3,0,3,99.66964286
1,2,2,4,99.80180608
2,2,6,0,99.76141503
0,1,0,0,75.42621951
1,0,0,1,98.77627119
0,1,1,1,95.8119891
1,2,0,1,99.43160271
3,0,1,1,99.82525773
2,0,1,3,99.78756058
3,0,3,1,99.82365011
0,3,5,0,97.3865098
2,2,2,3,99.86821429
4,3,3,0,99.86926148
0,1,0,0,74.73915663
1,0,1,0,87.88988327
0,1,0,2,99.1397351
0,1,1,2,99.54028777
1,0,2,2,99.66970803
2,2,1,1,99.80174216
1,5,0,1,99.60739958
1,3,3,1,99.18
4,1,3,1,99.83962547
3,1,4,2,99.89117014
0,0,1,0,74.57901235
1,0,1,0,99.0595
0,0,1,2,99.04
1,0,2,1,99.26560364
2,2,1,0,99.54275362
1,0,3,2,99.75648022
1,4,1,1,99.60770053
0,5,2,1,98.86234097
0,3,4,2,99.66961806
3,3,2,2,99.84544765
0,0,0,1,63.78103448
0,0,0,2,98.75354839
0,0,0,3,99.31737288
1,1,2,0,99.55310458
1,0,1,3,99.57082495
1,2,2,1,99.62017995
1,3,2,1,99.6187962
3,2,3,0,99.81075949
1,2,4,2,99.7671072
1,5,2,2,99.79683642
1,0,0,0,65.25390625
0,2,0,0,91.43779528
1,2,0,0,93.59379845
1,1,0,2,99.57135802
2,1,1,1,99.69247863
2,1,1,2,99.73924731
2,2,0,3,99.86597403
3,3,2,0,99.8022314
4,1,2,2,99.87398073
