#tk0,#tk1,#tk2,#tk3,cpu_usage
0,0,0,1,35.309375
1,0,0,1,67.45344828
2,1,0,0,97.54471264
1,0,3,0,94.8254717
1,2,1,1,95.46920821
2,1,2,1,99.16106195
1,1,3,2,98.00941704
1,1,3,3,99.2702544
0,3,2,4,99.14641638
1,1,5,3,99.59400922
0,0,0,1,35.2768
1,0,1,0,75.19216867
1,2,0,0,89.0248062
0,4,0,0,84.5696793
2,1,2,0,98.30445736
3,1,1,1,99.35584563
1,5,0,1,97.37895833
3,2,2,1,99.72516619
3,3,2,1,99.71830624
0,1,6,3,97.91032934
0,0,1,0,50.7
1,0,1,0,74.99337349
1,1,1,0,89.32737643
2,1,0,1,99.49773936
2,2,1,0,97.55940367
1,4,0,1,96.91382716
0,3,2,2,97.15376569
1,1,0,6,99.5052
3,3,3,0,99.16259704
3,3,1,3,99.75320271
0,0,1,0,51.11653543
0,1,1,0,70.51809045
0,0,1,2,89.16963351
1,3,0,0,94.69090909
0,0,3,2,94.50416667
0,0,5,1,94.58414918
0,3,0,4,98.40646651
1,2,4,1,97.80606586
3,0,3,3,99.80255418
3,2,1,4,99.79283305
0,0,1,0,51.348
1,1,0,0,76.50977011
0,2,0,1,83.51534884
0,0,1,3,95.97725322
1,1,2,1,95.85794118
0,1,4,1,95.01281465
1,3,1,2,98.4952381
1,1,2,4,99.3234375
0,2,4,3,97.89480737
2,3,3,2,99.70760626
0,0,1,0,50.64666667
2,0,0,0,76.05793358
1,1,1,0,89.59202899
1,2,1,0,94.12492013
0,2,1,2,95.19263804
3,0,0,3,99.73688442
2,3,0,2,99.33260073
4,1,1,2,99.77872807
3,2,2,2,99.78377778
0,4,3,3,98.19396682
1,0,0,0,38.85466667
1,0,0,1,68.34971429
1,0,1,1,90.29705882
1,1,1,1,96.35518519
1,0,2,2,96.85709779
3,1,2,0,98.91511747
4,0,2,1,99.6646438
3,3,0,2,99.71720094
3,3,2,1,99.67989766
3,4,2,1,99.73612717
0,1,0,0,50.6804878
0,1,0,1,73.26193548
1,2,0,0,88.82754717
2,1,1,0,96.67430168
0,1,3,1,93.79054441
0,3,2,1,94.98568019
3,2,1,1,99.66254826
3,3,0,2,99.684375
2,3,3,1,99.1412178
2,1,6,1,99.17513284
0,1,0,0,51.1488
0,0,0,2,63.09032258
0,1,2,0,78.73195489
0,2,1,1,89.25714286
0,0,3,2,94.6154321
2,1,0,3,99.00243363
2,2,1,2,99.44258443
2,3,0,3,99.74367269
2,2,2,3,99.75130802
0,2,5,3,97.71538462
0,0,0,1,35.06269841
0,0,0,2,63.32151899
1,1,0,1,90.38292683
1,1,2,0,94.29967949
1,1,2,1,95.8875
3,2,0,1,99.45316456
2,1,2,2,99.4237721
4,1,2,1,99.77618375
3,3,2,1,99.72120116
