#tk0,#tk1,#tk2,#tk3,cpu_usage
0,0,0,1,35.37063492
1,0,0,1,66.66358382
0,0,0,3,83.47593583
1,1,1,1,95.28863636
1,1,0,3,98.98
1,0,2,3,98.57445652
3,0,3,1,99.65807754
3,3,1,1,99.69431357
0,2,4,3,98.43777403
0,3,2,5,98.97220395
1,0,0,0,38.83243243
0,1,1,0,71.1625
1,0,0,2,84.96567164
1,2,1,0,93.81850649
1,1,1,2,96.6384858
0,1,5,0,91.82129436
3,1,1,2,99.62093023
3,2,1,2,99.74459016
4,1,1,3,99.81908795
2,1,4,3,99.71165644
0,0,0,1,34.86141732
1,0,0,1,68.42514286
1,1,0,1,90.789
2,0,1,1,98.92665006
0,1,2,2,94.00988024
0,2,1,3,97.54494681
2,2,2,1,98.97427293
4,1,2,1,99.71421053
0,1,5,3,98.11008547
2,0,5,3,99.70553145
1,0,0,0,38.59342105
1,0,1,0,75.30243902
0,1,1,1,82.37321429
1,1,1,1,96.0581749
2,0,3,0,97.81154261
0,2,3,1,94.81833333
1,2,0,4,98.32959427
1,5,0,2,98.16509434
4,2,3,0,99.78967109
1,2,4,3,99.50061824
1,0,0,0,38.70397351
0,1,0,1,72.68410596
0,1,1,1,82.86306306
2,2,0,0,97.61113924
2,2,0,1,99.02167832
1,2,0,3,98.38767123
2,0,3,2,99.66191426
2,2,2,2,99.2255137
1,2,3,3,99.29755245
3,1,4,2,99.81554795
0,1,0,0,50.88706897
0,1,1,0,71.54307692
1,1,1,0,89.17834646
3,0,1,0,98.83434343
0,4,0,1,94.22756598
2,1,2,1,99.33781818
1,2,3,1,96.98101266
2,3,1,2,99.67
1,1,3,4,99.31223022
1,2,3,4,99.49935897
1,0,0,0,38.59801325
1,0,0,1,67.88228571
0,2,1,0,79.65477941
2,1,0,1,99.36556064
2,0,1,2,99.55215686
1,0,3,2,97.66479592
2,1,3,1,98.23641405
0,2,2,4,99.21422505
1,1,3,4,99.32105263
3,3,2,2,99.8077642
1,0,0,0,38.84370861
2,0,0,0,75.26479401
0,1,0,2,89.08994709
1,1,1,1,95.71223022
1,2,0,2,96.75605096
2,1,2,1,98.91698413
4,1,1,1,99.69181124
1,3,0,4,99.30491803
0,4,1,4,99.40713012
2,5,2,1,99.14823626
1,0,0,0,38.15032258
0,1,0,1,73.31233766
0,1,1,1,84.02825112
3,0,1,0,99.20503876
2,0,2,1,97.43613861
2,1,0,3,99.54029557
1,2,1,3,99.14697674
1,1,3,3,99.41706349
4,2,1,2,99.78553114
3,2,1,4,99.79133545
0,0,1,0,51.6233871
0,1,0,1,73.11973684
1,0,1,1,90.73804878
3,0,0,1,99.73611394
0,1,1,3,95.50677419
2,1,3,0,98.87597027
2,3,1,1,99.21449782
4,1,1,2,99.76529412
4,0,2,3,99.84655738
